billing_period,client_name,service_line,billable_hours,hourly_rate,software_cost,invoice_value,project_status
2024-12-08,MegaCorp,Cyber Audit,0,150,1057.11,8954.65,Ongoing
2024-12-15,MegaCorp,O365 Licenses,0,150,1947.56,13009.7,Completed
2024-12-22,CityGov,Monthly Retainer,250,0,3755.26,27936.85,On Hold
2024-12-29,TechStart,Monthly Retainer,40,150,4212.18,11180.56,On Hold
2025-01-05,MegaCorp,O365 Licenses,40,150,2100.21,47227.37,Completed
2025-01-12,TechStart,App Dev,100,0,1694.75,48299.14,Ongoing
2025-01-19,LocalBank,Cyber Audit,250,0,1912.91,30933.42,Completed
2025-01-26,LocalBank,Cyber Audit,100,150,2360.59,2471.26,On Hold
2025-02-02,MegaCorp,Cloud Migration,250,300,2081.61,23350.87,On Hold
2025-02-09,TechStart,App Dev,10,150,4701.14,23016.92,On Hold
2025-02-16,LocalBank,Cyber Audit,40,0,2698.66,8637.95,On Hold
2025-02-23,CityGov,Monthly Retainer,250,200,2391.92,30537.67,On Hold
2025-03-02,TechStart,Cyber Audit,250,150,4544.56,44287.9,On Hold
2025-03-09,MegaCorp,Monthly Retainer,40,300,1776.86,23874.22,On Hold
2025-03-16,LocalBank,Cyber Audit,100,150,4254.98,8897.23,Ongoing
2025-03-23,CityGov,App Dev,250,0,2642.31,22192.97,Ongoing
2025-03-30,CityGov,Monthly Retainer,40,0,1747.84,15593.82,Completed
2025-04-06,MegaCorp,Cyber Audit,0,200,1569.84,5121.66,On Hold
2025-04-13,MegaCorp,Cloud Migration,40,300,1273.7,33640.5,On Hold
2025-04-20,MegaCorp,O365 Licenses,100,0,3063.43,27400.01,On Hold
2025-04-27,TechStart,Monthly Retainer,40,0,1201.63,18279.6,Completed
2025-05-04,LocalBank,O365 Licenses,0,0,2973.18,2924.32,Completed
2025-05-11,LocalBank,Monthly Retainer,40,0,3558.71,2978.43,Completed
2025-05-18,LocalBank,O365 Licenses,0,300,3317.29,31543.17,On Hold
2025-05-25,CityGov,Monthly Retainer,0,300,2229.85,21009.88,Ongoing
2025-06-01,LocalBank,O365 Licenses,250,0,4180.8,2232.29,Ongoing
2025-06-08,CityGov,Cloud Migration,40,150,3764.3,21246.97,Ongoing
2025-06-15,LocalBank,Cloud Migration,0,200,1146.23,5470.01,Ongoing
2025-06-22,CityGov,App Dev,10,150,3765.21,18005.72,Completed
2025-06-29,MegaCorp,Cloud Migration,0,300,1522.61,7869.23,On Hold
2025-07-06,TechStart,App Dev,0,300,3177.25,33728.17,Completed
2025-07-13,MegaCorp,App Dev,0,300,2165.67,3301.75,Ongoing
2025-07-20,MegaCorp,Cloud Migration,10,0,675.02,37515.38,Completed
2025-07-27,TechStart,Monthly Retainer,250,300,3485.27,4235.8,Completed
2025-08-03,TechStart,Monthly Retainer,0,200,3685.64,46240.54,Completed
2025-08-10,LocalBank,Monthly Retainer,250,0,640.42,30448.77,On Hold
2025-08-17,TechStart,Cloud Migration,250,150,1062.27,24192.29,On Hold
2025-08-24,TechStart,Cyber Audit,100,150,2113.43,17486.55,Completed
2025-08-31,CityGov,Cyber Audit,250,300,4794.87,2301.29,Ongoing
2025-09-07,MegaCorp,Monthly Retainer,250,300,4618.23,6025.68,On Hold
2025-09-14,MegaCorp,Monthly Retainer,0,300,2166.44,22942.44,Completed
2025-09-21,MegaCorp,Cyber Audit,0,0,3697.6,10621.52,Ongoing
2025-09-28,TechStart,Cloud Migration,100,300,4640.58,13096.78,On Hold
2025-10-05,CityGov,Cloud Migration,250,200,1816.36,41157.96,Ongoing
2025-10-12,TechStart,Monthly Retainer,10,200,1713.25,23304.73,Completed
2025-10-19,LocalBank,Cloud Migration,40,200,1805.96,14233.18,Ongoing
2025-10-26,CityGov,Monthly Retainer,10,0,2513.09,41632.38,On Hold
2025-11-02,TechStart,Cyber Audit,10,0,4575.43,21812.82,Ongoing
2025-11-09,TechStart,Monthly Retainer,10,0,4175.36,3215.63,On Hold
2025-11-16,TechStart,App Dev,0,200,933.74,32358.96,On Hold
2025-11-23,LocalBank,Monthly Retainer,0,150,4466.34,39715.24,Completed
2025-11-30,LocalBank,Cyber Audit,250,200,188.25,9454.43,On Hold
2025-12-07,CityGov,Cyber Audit,0,300,2990.35,21603.69,Completed
2025-12-14,LocalBank,App Dev,250,0,3031.55,37223.16,Ongoing
2025-12-21,MegaCorp,O365 Licenses,100,150,1839.82,33530.57,Ongoing
2025-12-28,TechStart,O365 Licenses,0,200,593.25,1693.9,Completed
2026-01-04,MegaCorp,App Dev,100,0,3479.63,18053.62,Ongoing
2026-01-11,TechStart,Cloud Migration,250,0,1616.98,10568.08,On Hold
2026-01-18,LocalBank,O365 Licenses,10,150,1255.33,17221.84,Ongoing
2026-01-25,LocalBank,Monthly Retainer,100,300,3444.64,20376.46,Completed
2026-02-01,MegaCorp,Cyber Audit,100,200,3479.68,1588.3,Ongoing
2026-02-08,MegaCorp,O365 Licenses,10,150,3811.72,19382.67,On Hold
2026-02-15,MegaCorp,Cloud Migration,250,300,1615.26,41191.07,On Hold
2026-02-22,CityGov,Cloud Migration,100,150,1557.56,2089.21,Completed
2026-03-01,CityGov,App Dev,0,0,3985.88,14245.21,Completed
2026-03-08,LocalBank,Cloud Migration,0,150,3345.03,48381.87,On Hold
2026-03-15,CityGov,Cyber Audit,250,200,4353.44,2744.58,On Hold
2026-03-22,MegaCorp,O365 Licenses,10,300,2397.98,49452.81,Ongoing
2026-03-29,LocalBank,App Dev,0,300,2892.76,18993.71,On Hold
2026-04-05,MegaCorp,Cyber Audit,250,150,611.62,29181.78,On Hold
2026-04-12,LocalBank,App Dev,0,0,222.25,45987.0,Completed
2026-04-19,MegaCorp,Cyber Audit,100,150,3030.15,42045.67,Ongoing
2026-04-26,TechStart,Cyber Audit,100,300,1389.42,17852.43,Ongoing
2026-05-03,MegaCorp,Cloud Migration,0,200,1554.74,33148.26,Completed
2026-05-10,TechStart,Monthly Retainer,10,300,1407.37,31556.85,Ongoing
2026-05-17,CityGov,Cyber Audit,40,150,3168.7,14653.72,Ongoing
2026-05-24,LocalBank,Monthly Retainer,10,300,883.17,9259.42,Ongoing
2026-05-31,MegaCorp,App Dev,100,150,286.29,16078.82,Completed
2026-06-07,LocalBank,Cloud Migration,0,0,1836.06,2253.17,Ongoing
2026-06-14,LocalBank,Cloud Migration,40,150,2428.41,5415.73,On Hold
2026-06-21,TechStart,Monthly Retainer,250,0,3987.16,15625.37,On Hold
2026-06-28,LocalBank,Monthly Retainer,100,0,2082.81,35229.28,Completed
2026-07-05,CityGov,Cyber Audit,40,0,896.32,6984.72,Ongoing
2026-07-12,LocalBank,Cloud Migration,100,0,122.47,36386.44,Ongoing
2026-07-19,MegaCorp,Cyber Audit,250,300,298.21,34758.27,Completed
2026-07-26,LocalBank,Cyber Audit,10,150,3819.4,46624.62,Completed
2026-08-02,CityGov,App Dev,250,150,4268.67,22519.33,Completed
2026-08-09,LocalBank,Monthly Retainer,0,300,3126.41,25261.77,Ongoing
2026-08-16,CityGov,Monthly Retainer,100,200,3720.63,46230.13,Completed
2026-08-23,MegaCorp,Cyber Audit,100,150,2304.63,40050.46,Completed
2026-08-30,TechStart,Monthly Retainer,10,200,2334.19,21769.75,Ongoing
2026-09-06,CityGov,Cyber Audit,0,300,3707.39,30657.96,Ongoing
2026-09-13,TechStart,Cyber Audit,100,150,310.89,38141.76,Completed
2026-09-20,LocalBank,App Dev,40,300,255.15,29849.95,On Hold
2026-09-27,LocalBank,O365 Licenses,250,150,2768.26,1500.99,Ongoing
2026-10-04,TechStart,Monthly Retainer,10,300,2587.56,12187.21,Ongoing
2026-10-11,TechStart,O365 Licenses,250,0,4249.45,10359.09,On Hold
2026-10-18,CityGov,Cyber Audit,0,300,459.16,9722.61,On Hold
2026-10-25,LocalBank,App Dev,250,150,1417.54,36505.46,On Hold
2026-11-01,LocalBank,Cyber Audit,40,150,879.28,10257.51,Completed
2026-11-08,TechStart,Monthly Retainer,250,200,4909.73,21753.99,Completed
2026-11-15,LocalBank,Cloud Migration,40,200,304.82,36185.85,Completed
2026-11-22,TechStart,Cyber Audit,40,200,1498.05,4562.34,On Hold
2026-11-29,TechStart,Cyber Audit,10,0,3459.41,49475.04,Ongoing
2026-12-06,CityGov,App Dev,0,0,3365.59,32857.29,Ongoing
2026-12-13,LocalBank,Cloud Migration,250,300,402.3,46707.04,Ongoing
2026-12-20,LocalBank,Cyber Audit,40,200,4404.78,47268.23,Ongoing
2026-12-27,TechStart,O365 Licenses,100,150,4779.43,22444.46,Ongoing
2027-01-03,TechStart,App Dev,100,300,3807.4,39975.12,Completed
2027-01-10,LocalBank,App Dev,100,150,4646.61,11700.3,Ongoing
2027-01-17,TechStart,Cloud Migration,250,150,352.37,47569.1,Completed
2027-01-24,CityGov,Monthly Retainer,10,200,1043.25,38940.24,On Hold
2027-01-31,TechStart,Cloud Migration,40,150,3505.36,40185.3,Completed
2027-02-07,LocalBank,O365 Licenses,250,0,2314.34,4612.69,Ongoing
2027-02-14,LocalBank,App Dev,0,200,548.12,29883.86,Completed
2027-02-21,CityGov,Cloud Migration,10,300,2386.64,30881.35,Completed
2027-02-28,LocalBank,Cloud Migration,0,150,2793.74,30072.16,On Hold
2027-03-07,MegaCorp,App Dev,100,0,2249.91,15157.5,On Hold
2027-03-14,CityGov,Monthly Retainer,100,0,2520.64,47382.41,On Hold
2027-03-21,MegaCorp,O365 Licenses,100,150,224.87,28996.12,Ongoing
2027-03-28,MegaCorp,O365 Licenses,100,200,2992.2,38489.45,Completed
2027-04-04,CityGov,Monthly Retainer,250,300,41.56,32519.88,Completed
2027-04-11,TechStart,O365 Licenses,0,150,1543.72,10562.87,Ongoing
2027-04-18,MegaCorp,App Dev,100,0,4180.45,16267.92,On Hold
2027-04-25,LocalBank,Monthly Retainer,0,150,2035.06,24788.58,On Hold
2027-05-02,LocalBank,Cloud Migration,10,150,1438.89,13756.79,Completed
2027-05-09,CityGov,Monthly Retainer,250,200,395.11,10628.06,Ongoing
2027-05-16,CityGov,Cloud Migration,100,300,4420.68,13828.78,Ongoing
2027-05-23,CityGov,O365 Licenses,40,150,1272.35,14267.48,On Hold
2027-05-30,TechStart,Monthly Retainer,250,200,3067.77,25470.29,Ongoing
2027-06-06,CityGov,O365 Licenses,100,200,651.37,41686.08,Ongoing
2027-06-13,CityGov,Cloud Migration,0,0,3568.56,11754.36,On Hold
2027-06-20,TechStart,Cloud Migration,250,150,2458.16,9562.42,Ongoing
2027-06-27,TechStart,Monthly Retainer,0,150,2877.63,25988.06,On Hold
2027-07-04,CityGov,App Dev,100,150,3728.82,30321.84,On Hold
2027-07-11,MegaCorp,Cloud Migration,250,150,4141.8,12820.08,On Hold
2027-07-18,CityGov,App Dev,10,150,350.37,47951.57,Completed
2027-07-25,MegaCorp,Monthly Retainer,0,300,3180.82,26967.33,Completed
2027-08-01,LocalBank,Cloud Migration,40,200,3233.72,30218.44,On Hold
2027-08-08,CityGov,Cyber Audit,250,300,3077.36,24701.83,Ongoing
2027-08-15,MegaCorp,Cloud Migration,10,300,3387.85,24177.42,On Hold
2027-08-22,CityGov,Monthly Retainer,40,200,2800.61,11563.62,Completed
2027-08-29,CityGov,Cloud Migration,250,300,506.46,26064.65,Completed
2027-09-05,CityGov,O365 Licenses,10,150,3323.88,34479.76,Ongoing
2027-09-12,MegaCorp,Cyber Audit,250,300,174.03,24420.1,On Hold
2027-09-19,LocalBank,Cloud Migration,40,0,4886.89,44262.98,On Hold
2027-09-26,TechStart,Cyber Audit,100,300,3661.34,19579.45,Completed
2027-10-03,MegaCorp,Cloud Migration,10,0,4525.48,14358.31,On Hold
2027-10-10,LocalBank,Monthly Retainer,40,0,2130.85,45016.16,On Hold
2027-10-17,CityGov,App Dev,0,150,1482.42,30260.38,Completed
2027-10-24,TechStart,Cloud Migration,40,0,631.89,10215.7,Ongoing
2027-10-31,LocalBank,Cloud Migration,40,200,2067.18,3299.23,Ongoing
2027-11-07,LocalBank,App Dev,40,300,3492.12,2497.82,Ongoing
2027-11-14,MegaCorp,Cyber Audit,100,150,1795.48,3543.1,Ongoing
2027-11-21,MegaCorp,Monthly Retainer,250,0,3173.28,22320.96,Ongoing
2027-11-28,TechStart,Cloud Migration,40,200,4056.98,22898.03,Completed
2027-12-05,MegaCorp,Monthly Retainer,40,200,3073.56,30166.69,Completed
2027-12-12,LocalBank,O365 Licenses,10,150,2287.01,33212.57,Completed
2027-12-19,MegaCorp,O365 Licenses,40,0,1922.3,33989.9,On Hold
2027-12-26,CityGov,Cloud Migration,100,300,2101.89,9104.32,Completed
2028-01-02,MegaCorp,Cloud Migration,100,0,3307.62,11207.76,Ongoing
2028-01-09,LocalBank,Monthly Retainer,100,200,1818.04,1186.41,Ongoing
2028-01-16,CityGov,Cyber Audit,0,200,2963.27,40312.22,Completed
2028-01-23,LocalBank,Cloud Migration,40,150,1075.03,47676.98,On Hold
2028-01-30,MegaCorp,Monthly Retainer,100,200,1937.44,19351.78,On Hold
2028-02-06,CityGov,App Dev,10,300,3087.42,12454.26,Ongoing
2028-02-13,MegaCorp,Monthly Retainer,250,0,488.09,47027.25,On Hold
2028-02-20,TechStart,O365 Licenses,100,200,540.97,7375.47,On Hold
2028-02-27,LocalBank,Cyber Audit,100,150,3665.15,9443.37,On Hold
2028-03-05,LocalBank,O365 Licenses,100,200,4209.42,49798.71,On Hold
2028-03-12,MegaCorp,Monthly Retainer,10,0,3343.19,10351.25,On Hold
2028-03-19,MegaCorp,Cloud Migration,0,150,1755.8,30705.01,Ongoing
2028-03-26,TechStart,Cloud Migration,250,0,1570.1,4100.57,On Hold
2028-04-02,MegaCorp,Cyber Audit,100,200,4147.15,49515.07,On Hold
2028-04-09,TechStart,Cloud Migration,10,200,2936.28,35863.42,On Hold
2028-04-16,CityGov,Cloud Migration,250,150,2519.17,5899.22,On Hold
2028-04-23,MegaCorp,App Dev,40,150,4817.26,19192.59,Completed
2028-04-30,CityGov,O365 Licenses,100,300,4668.91,2612.11,Completed
2028-05-07,LocalBank,Monthly Retainer,0,0,2384.07,49134.63,Ongoing
2028-05-14,CityGov,Cloud Migration,40,150,2521.32,24316.33,On Hold
2028-05-21,TechStart,Cyber Audit,250,0,2170.12,11027.02,On Hold
2028-05-28,CityGov,O365 Licenses,0,150,4571.05,33686.0,On Hold
2028-06-04,MegaCorp,O365 Licenses,10,300,2662.51,35406.23,Ongoing
2028-06-11,MegaCorp,App Dev,10,150,4479.27,5685.17,Completed
2028-06-18,CityGov,App Dev,10,150,3524.26,48551.88,Ongoing
2028-06-25,MegaCorp,Cloud Migration,100,150,1592.56,22009.06,Ongoing
2028-07-02,LocalBank,Cyber Audit,10,200,1618.9,18392.04,On Hold
2028-07-09,LocalBank,Cyber Audit,250,300,2014.05,7361.16,Ongoing
2028-07-16,TechStart,Cloud Migration,0,300,4663.72,19156.48,Completed
2028-07-23,MegaCorp,Monthly Retainer,100,200,1399.67,48267.52,On Hold
2028-07-30,MegaCorp,O365 Licenses,100,300,390.05,10886.57,Completed
2028-08-06,CityGov,O365 Licenses,40,0,3174.03,31619.68,Ongoing
2028-08-13,TechStart,O365 Licenses,100,200,483.06,16773.43,Ongoing
2028-08-20,CityGov,Monthly Retainer,0,150,4451.46,16727.69,Completed
2028-08-27,CityGov,Cloud Migration,250,150,673.05,23403.6,On Hold
2028-09-03,CityGov,Cloud Migration,250,200,3851.86,7023.52,On Hold
2028-09-10,LocalBank,App Dev,100,200,4272.44,49226.96,Completed
2028-09-17,CityGov,App Dev,0,0,3494.04,13524.2,Ongoing
2028-09-24,TechStart,Cloud Migration,250,0,4425.92,13069.39,Completed
2028-10-01,LocalBank,Cyber Audit,250,0,2102.26,20715.21,Ongoing
2028-10-08,CityGov,Monthly Retainer,250,200,2013.77,19350.42,On Hold
2028-10-15,MegaCorp,Monthly Retainer,250,200,3048.82,35535.63,Ongoing
2028-10-22,LocalBank,O365 Licenses,250,0,1393.69,11872.92,Completed
2028-10-29,MegaCorp,Cyber Audit,40,150,4124.22,6853.12,Completed
2028-11-05,TechStart,App Dev,0,0,1968.19,45147.61,Completed
2028-11-12,LocalBank,Cyber Audit,40,0,2343.44,34621.89,On Hold
2028-11-19,LocalBank,Cyber Audit,10,200,2196.43,47020.9,On Hold
2028-11-26,MegaCorp,O365 Licenses,10,200,2821.72,48754.78,Ongoing
2028-12-03,CityGov,O365 Licenses,0,200,1375.49,40017.59,Completed
2028-12-10,MegaCorp,Cyber Audit,0,200,2129.31,24054.26,Ongoing
2028-12-17,TechStart,O365 Licenses,100,150,4243.1,11630.01,Completed
2028-12-24,MegaCorp,Monthly Retainer,0,200,4393.56,49456.72,On Hold
2028-12-31,CityGov,O365 Licenses,10,150,4115.02,8287.57,On Hold
2029-01-07,LocalBank,Cyber Audit,250,200,2353.95,34725.17,On Hold
2029-01-14,CityGov,Cyber Audit,250,0,44.08,8915.24,Completed
2029-01-21,CityGov,Cyber Audit,40,200,4769.8,40865.33,On Hold
2029-01-28,CityGov,Monthly Retainer,100,200,3054.91,40822.47,On Hold
2029-02-04,TechStart,Monthly Retainer,40,200,4881.57,42001.63,Ongoing
2029-02-11,MegaCorp,Monthly Retainer,40,150,2890.19,2892.77,Completed
2029-02-18,CityGov,Monthly Retainer,10,300,138.51,39659.03,Completed
2029-02-25,TechStart,App Dev,0,300,2512.97,20159.52,Ongoing
2029-03-04,CityGov,Cloud Migration,10,200,1514.53,48000.4,Completed
2029-03-11,LocalBank,Cyber Audit,250,150,3563.74,5512.6,On Hold
2029-03-18,LocalBank,Monthly Retainer,100,0,730.35,9984.95,Ongoing
2029-03-25,TechStart,App Dev,100,150,4871.19,30909.52,Completed
2029-04-01,LocalBank,App Dev,0,200,1589.27,4568.95,Ongoing
2029-04-08,CityGov,O365 Licenses,10,300,3426.46,29283.06,On Hold
2029-04-15,CityGov,Monthly Retainer,250,300,3270.47,23220.52,On Hold
2029-04-22,CityGov,App Dev,10,300,4675.11,7706.34,Completed
2029-04-29,TechStart,Cyber Audit,0,300,1909.04,41506.47,On Hold
2029-05-06,CityGov,App Dev,100,300,4558.97,39363.55,Ongoing
2029-05-13,LocalBank,Cyber Audit,40,0,3490.12,10848.08,On Hold
2029-05-20,CityGov,Monthly Retainer,40,200,120.51,30978.13,Completed
2029-05-27,CityGov,App Dev,40,300,4515.8,33503.8,Completed
2029-06-03,LocalBank,Cloud Migration,0,0,3920.38,25782.08,Completed
2029-06-10,CityGov,Cloud Migration,10,150,1070.96,26807.1,Completed
2029-06-17,LocalBank,O365 Licenses,250,150,4365.7,10955.62,On Hold
2029-06-24,MegaCorp,App Dev,100,200,4020.5,31423.33,On Hold
2029-07-01,LocalBank,Cloud Migration,100,300,576.64,20793.13,Ongoing
2029-07-08,CityGov,Monthly Retainer,100,0,2436.31,42532.78,Ongoing
2029-07-15,MegaCorp,App Dev,40,0,1709.79,14907.77,On Hold
2029-07-22,CityGov,App Dev,250,300,4161.79,9028.63,On Hold
2029-07-29,CityGov,Cyber Audit,40,200,2117.15,23882.78,On Hold
2029-08-05,MegaCorp,App Dev,10,300,4358.36,41629.53,Ongoing
2029-08-12,LocalBank,App Dev,10,150,4440.87,21395.74,On Hold
2029-08-19,LocalBank,Monthly Retainer,100,150,98.21,16564.48,Ongoing
2029-08-26,MegaCorp,Cyber Audit,0,300,2291.89,37974.69,Completed
2029-09-02,LocalBank,O365 Licenses,10,150,810.71,35301.52,Completed
2029-09-09,CityGov,Cloud Migration,40,300,741.66,22458.52,On Hold
2029-09-16,LocalBank,Monthly Retainer,100,300,3486.28,48922.58,On Hold
2029-09-23,LocalBank,Cyber Audit,0,150,2508.81,39538.15,Completed
2029-09-30,LocalBank,Cloud Migration,40,300,3140.3,25673.62,Completed
2029-10-07,CityGov,Cyber Audit,40,0,2406.68,1525.76,On Hold
2029-10-14,CityGov,O365 Licenses,40,300,3640.73,32353.89,Completed
