purchase_time,event_name,ticket_tier,tickets_bought,face_value,service_fee,total_charge,buyer_location,is_reseller
2023-10-01 00:21:00,Tech Expo,Early Bird,6,300,38.81,1547.87,Local,False
2023-10-01 00:22:00,Symphony Orchestra,General Admin,7,150,12.16,1260.71,International,False
2023-10-01 00:23:00,Tech Expo,VIP,5,150,15.38,1584.89,Local,False
2023-10-01 00:24:00,Symphony Orchestra,General Admin,5,150,35.27,173.76,Local,False
2023-10-01 00:25:00,Tech Expo,VIP,1,300,17.75,634.07,Out of State,False
2023-10-01 00:26:00,Tech Expo,VIP,6,25,42.49,2457.71,Local,False
2023-10-01 00:27:00,Symphony Orchestra,VIP,5,300,30.38,2236.6,Local,False
2023-10-01 00:28:00,Rock Fest '24,VIP,2,50,16.89,2187.06,International,False
2023-10-01 00:29:00,Comedy Night,Early Bird,7,25,44.1,960.91,Local,False
2023-10-01 00:30:00,Tech Expo,General Admin,5,50,43.34,2073.57,International,False
2023-10-01 00:31:00,Tech Expo,VIP,1,25,22.94,542.38,Local,False
2023-10-01 00:32:00,Rock Fest '24,Early Bird,3,25,31.33,705.17,Out of State,False
2023-10-01 00:33:00,Symphony Orchestra,General Admin,7,300,5.2,1909.31,Local,False
2023-10-01 00:34:00,Tech Expo,Balcony,2,150,33.14,1819.12,Out of State,False
2023-10-01 00:35:00,Comedy Night,Balcony,2,50,41.45,2301.24,International,False
2023-10-01 00:36:00,Rock Fest '24,General Admin,5,25,10.75,763.69,International,False
2023-10-01 00:37:00,Tech Expo,General Admin,3,25,26.93,1322.08,International,False
2023-10-01 00:38:00,Rock Fest '24,Balcony,6,300,18.19,2459.62,Local,False
2023-10-01 00:39:00,Comedy Night,VIP,5,150,5.29,303.14,Local,False
2023-10-01 00:40:00,Comedy Night,Balcony,6,150,21.34,360.41,Out of State,False
2023-10-01 00:41:00,Comedy Night,Early Bird,5,300,6.02,751.8,Out of State,False
2023-10-01 00:42:00,Symphony Orchestra,VIP,3,300,21.06,492.0,Out of State,False
2023-10-01 00:43:00,Comedy Night,VIP,4,150,8.76,2048.22,International,False
2023-10-01 00:44:00,Symphony Orchestra,General Admin,7,300,33.84,578.95,International,False
2023-10-01 00:45:00,Tech Expo,General Admin,6,25,18.19,513.8,Out of State,False
2023-10-01 00:46:00,Symphony Orchestra,Balcony,1,50,35.6,131.2,Out of State,False
2023-10-01 00:47:00,Rock Fest '24,Early Bird,2,150,36.83,915.93,International,True
2023-10-01 00:48:00,Comedy Night,VIP,6,25,8.36,453.35,International,False
2023-10-01 00:49:00,Symphony Orchestra,General Admin,6,25,24.08,855.45,Local,False
2023-10-01 00:50:00,Comedy Night,VIP,6,150,33.08,1613.31,Local,False
2023-10-01 00:51:00,Tech Expo,General Admin,4,50,34.2,846.32,International,False
2023-10-01 00:52:00,Rock Fest '24,VIP,6,50,26.79,1786.12,International,False
2023-10-01 00:53:00,Symphony Orchestra,Early Bird,7,150,13.96,379.39,Out of State,False
2023-10-01 00:54:00,Tech Expo,VIP,5,150,36.39,516.76,International,False
2023-10-01 00:55:00,Comedy Night,Early Bird,5,300,42.37,1246.46,International,False
2023-10-01 00:56:00,Symphony Orchestra,General Admin,4,150,19.07,790.43,Out of State,False
2023-10-01 00:57:00,Rock Fest '24,Early Bird,2,25,28.27,403.92,International,False
2023-10-01 00:58:00,Tech Expo,General Admin,6,150,16.93,1817.22,International,False
2023-10-01 00:59:00,Symphony Orchestra,VIP,5,300,24.8,720.79,Out of State,False
2023-10-01 01:00:00,Tech Expo,Early Bird,3,300,38.55,2039.97,Out of State,False
2023-10-01 01:01:00,Symphony Orchestra,General Admin,6,25,31.45,448.92,Local,False
2023-10-01 01:02:00,Symphony Orchestra,General Admin,1,50,19.37,956.0,International,False
2023-10-01 01:03:00,Comedy Night,VIP,6,300,10.6,825.89,Local,False
2023-10-01 01:04:00,Rock Fest '24,Early Bird,3,50,26.52,320.41,Out of State,False
2023-10-01 01:05:00,Rock Fest '24,General Admin,6,25,23.49,699.84,Out of State,False
2023-10-01 01:06:00,Comedy Night,Early Bird,2,25,7.23,1986.38,International,False
2023-10-01 01:07:00,Symphony Orchestra,VIP,5,25,14.03,1276.53,Out of State,False
2023-10-01 01:08:00,Rock Fest '24,Early Bird,7,25,42.83,2339.22,Out of State,False
2023-10-01 01:09:00,Rock Fest '24,General Admin,7,50,6.58,617.43,International,False
2023-10-01 01:10:00,Symphony Orchestra,General Admin,1,25,14.86,983.97,Local,False
2023-10-01 01:11:00,Symphony Orchestra,Early Bird,5,150,36.94,2401.27,Local,False
2023-10-01 01:12:00,Tech Expo,VIP,3,50,7.18,727.24,International,False
2023-10-01 01:13:00,Symphony Orchestra,Early Bird,1,50,10.54,865.84,Local,False
2023-10-01 01:14:00,Tech Expo,Early Bird,7,50,36.54,1946.11,Local,False
2023-10-01 01:15:00,Rock Fest '24,Balcony,5,50,39.02,875.39,Out of State,False
2023-10-01 01:16:00,Comedy Night,Balcony,6,150,11.89,1944.6,Out of State,False
2023-10-01 01:17:00,Symphony Orchestra,Balcony,1,300,20.91,2017.95,Local,False
2023-10-01 01:18:00,Symphony Orchestra,General Admin,2,50,39.07,643.13,Out of State,True
2023-10-01 01:19:00,Rock Fest '24,Early Bird,2,150,28.16,2387.57,International,False
2023-10-01 01:20:00,Comedy Night,VIP,5,300,24.68,142.31,Local,False
2023-10-01 01:21:00,Symphony Orchestra,General Admin,7,300,21.2,1136.69,Local,False
2023-10-01 01:22:00,Rock Fest '24,General Admin,3,150,43.9,986.33,International,False
2023-10-01 01:23:00,Comedy Night,VIP,6,300,24.17,1018.91,International,False
2023-10-01 01:24:00,Tech Expo,Balcony,3,25,15.69,177.86,International,False
2023-10-01 01:25:00,Symphony Orchestra,VIP,5,50,25.74,130.65,Out of State,False
2023-10-01 01:26:00,Rock Fest '24,Early Bird,3,300,14.83,1955.02,Out of State,False
2023-10-01 01:27:00,Symphony Orchestra,General Admin,7,150,18.03,1414.51,Out of State,False
2023-10-01 01:28:00,Tech Expo,General Admin,6,25,36.67,722.27,Local,False
2023-10-01 01:29:00,Symphony Orchestra,General Admin,5,50,7.41,1861.19,International,False
2023-10-01 01:30:00,Comedy Night,Balcony,2,150,25.62,175.27,International,False
2023-10-01 01:31:00,Comedy Night,Balcony,2,300,8.09,1756.96,Out of State,False
2023-10-01 01:32:00,Comedy Night,Early Bird,1,50,24.77,2415.78,Out of State,False
2023-10-01 01:33:00,Rock Fest '24,Early Bird,4,150,26.3,850.65,International,False
2023-10-01 01:34:00,Tech Expo,VIP,5,50,23.13,1764.86,International,False
2023-10-01 01:35:00,Comedy Night,General Admin,7,150,22.55,1997.2,International,False
2023-10-01 01:36:00,Symphony Orchestra,VIP,7,25,26.31,92.06,Local,False
2023-10-01 01:37:00,Tech Expo,Early Bird,4,25,36.59,803.81,Out of State,False
2023-10-01 01:38:00,Symphony Orchestra,VIP,5,25,14.15,1790.95,Local,False
2023-10-01 01:39:00,Symphony Orchestra,VIP,1,300,23.53,961.36,International,True
2023-10-01 01:40:00,Rock Fest '24,Balcony,5,300,41.52,1866.87,International,False
2023-10-01 01:41:00,Tech Expo,General Admin,4,50,44.81,803.24,International,False
2023-10-01 01:42:00,Rock Fest '24,VIP,6,25,9.79,237.37,International,False
2023-10-01 01:43:00,Rock Fest '24,Early Bird,6,50,8.18,629.96,International,False
2023-10-01 01:44:00,Comedy Night,VIP,5,150,41.94,2129.11,International,False
2023-10-01 01:45:00,Tech Expo,General Admin,4,150,41.65,2123.31,Out of State,False
2023-10-01 01:46:00,Tech Expo,General Admin,5,300,8.75,2152.19,Local,False
2023-10-01 01:47:00,Rock Fest '24,General Admin,6,150,35.94,1826.31,Out of State,False
2023-10-01 01:48:00,Rock Fest '24,VIP,2,150,11.07,1123.49,Local,False
2023-10-01 01:49:00,Tech Expo,Balcony,1,50,5.07,223.68,Local,True
2023-10-01 01:50:00,Comedy Night,VIP,7,300,15.18,1509.35,Out of State,False
2023-10-01 01:51:00,Symphony Orchestra,Balcony,1,25,39.12,1651.94,Out of State,False
2023-10-01 01:52:00,Symphony Orchestra,Early Bird,7,150,30.83,233.71,Out of State,False
2023-10-01 01:53:00,Comedy Night,VIP,7,300,19.03,789.87,Out of State,False
2023-10-01 01:54:00,Symphony Orchestra,Balcony,5,150,19.17,2312.47,Local,False
2023-10-01 01:55:00,Comedy Night,General Admin,6,300,30.91,1090.96,Local,False
2023-10-01 01:56:00,Rock Fest '24,VIP,2,25,19.33,64.76,Out of State,True
2023-10-01 01:57:00,Rock Fest '24,VIP,5,25,38.96,638.94,Out of State,False
2023-10-01 01:58:00,Rock Fest '24,General Admin,6,50,10.44,844.79,Local,False
2023-10-01 01:59:00,Symphony Orchestra,Balcony,3,300,24.69,337.09,Out of State,False
2023-10-01 02:00:00,Comedy Night,VIP,2,25,25.62,739.79,Local,False
2023-10-01 02:01:00,Symphony Orchestra,Early Bird,2,25,25.98,1520.97,Out of State,False
2023-10-01 02:02:00,Comedy Night,Early Bird,2,150,18.47,1532.26,Local,False
2023-10-01 02:03:00,Rock Fest '24,Early Bird,2,150,18.75,1944.59,International,False
2023-10-01 02:04:00,Symphony Orchestra,Balcony,6,50,27.01,2417.2,Local,False
2023-10-01 02:05:00,Comedy Night,VIP,1,50,29.87,161.39,Local,False
2023-10-01 02:06:00,Symphony Orchestra,Early Bird,2,150,36.7,769.22,International,False
2023-10-01 02:07:00,Rock Fest '24,General Admin,4,150,12.42,1098.83,Out of State,False
2023-10-01 02:08:00,Symphony Orchestra,General Admin,6,150,10.07,1624.66,International,False
2023-10-01 02:09:00,Rock Fest '24,VIP,2,50,41.77,1842.92,Local,False
2023-10-01 02:10:00,Tech Expo,VIP,4,300,26.74,107.06,International,False
2023-10-01 02:11:00,Comedy Night,Early Bird,3,50,6.51,433.58,Local,False
2023-10-01 02:12:00,Comedy Night,Balcony,2,150,34.27,154.41,Local,False
2023-10-01 02:13:00,Symphony Orchestra,VIP,7,300,12.33,2128.93,Out of State,True
2023-10-01 02:14:00,Tech Expo,Balcony,4,50,19.61,1992.48,Local,False
2023-10-01 02:15:00,Comedy Night,General Admin,2,50,25.38,1399.38,Out of State,False
2023-10-01 02:16:00,Symphony Orchestra,Early Bird,5,50,15.5,1165.01,International,False
2023-10-01 02:17:00,Comedy Night,General Admin,7,50,15.64,186.96,Local,False
2023-10-01 02:18:00,Tech Expo,Balcony,3,300,20.8,1089.6,International,False
2023-10-01 02:19:00,Tech Expo,Early Bird,5,300,15.7,522.6,Local,False
2023-10-01 02:20:00,Rock Fest '24,General Admin,7,25,41.06,1702.1,Out of State,False
2023-10-01 02:21:00,Rock Fest '24,Balcony,7,50,5.37,962.16,International,False
2023-10-01 02:22:00,Comedy Night,Balcony,5,50,35.71,348.18,Local,True
2023-10-01 02:23:00,Symphony Orchestra,Balcony,6,150,41.71,895.88,Local,False
2023-10-01 02:24:00,Tech Expo,Balcony,4,25,18.76,284.84,Local,False
2023-10-01 02:25:00,Comedy Night,VIP,4,150,17.77,794.19,Local,False
2023-10-01 02:26:00,Comedy Night,VIP,6,25,18.59,716.01,Out of State,False
2023-10-01 02:27:00,Symphony Orchestra,Balcony,7,150,17.36,1965.68,Local,False
2023-10-01 02:28:00,Tech Expo,Balcony,5,150,25.4,1032.95,Local,False
2023-10-01 02:29:00,Rock Fest '24,Early Bird,3,50,6.32,854.78,Out of State,False
2023-10-01 02:30:00,Comedy Night,VIP,1,25,16.2,1103.92,Out of State,False
2023-10-01 02:31:00,Tech Expo,General Admin,5,300,19.19,1043.18,International,False
2023-10-01 02:32:00,Symphony Orchestra,General Admin,3,150,14.27,172.3,Local,False
2023-10-01 02:33:00,Symphony Orchestra,Early Bird,5,50,15.41,50.02,Local,False
2023-10-01 02:34:00,Symphony Orchestra,VIP,3,150,28.38,1566.19,Out of State,False
2023-10-01 02:35:00,Comedy Night,Balcony,3,25,14.6,1167.92,International,False
2023-10-01 02:36:00,Symphony Orchestra,General Admin,2,25,18.44,445.82,Out of State,False
2023-10-01 02:37:00,Comedy Night,Early Bird,5,25,11.86,1537.51,International,False
2023-10-01 02:38:00,Rock Fest '24,Balcony,1,50,24.38,611.6,Out of State,False
2023-10-01 02:39:00,Comedy Night,VIP,7,150,7.14,1359.15,International,False
2023-10-01 02:40:00,Comedy Night,General Admin,6,150,20.69,315.38,Out of State,False
2023-10-01 02:41:00,Comedy Night,Early Bird,7,300,10.46,731.3,Local,False
2023-10-01 02:42:00,Comedy Night,Balcony,7,150,8.03,818.45,Local,False
2023-10-01 02:43:00,Rock Fest '24,General Admin,1,50,6.61,899.27,Local,False
2023-10-01 02:44:00,Symphony Orchestra,Early Bird,6,300,14.26,544.46,Local,False
2023-10-01 02:45:00,Tech Expo,VIP,7,300,8.59,1458.54,Local,False
2023-10-01 02:46:00,Tech Expo,Early Bird,1,300,18.16,324.26,Local,False
2023-10-01 02:47:00,Rock Fest '24,General Admin,1,300,37.12,33.89,Out of State,False
2023-10-01 02:48:00,Tech Expo,General Admin,3,300,18.82,1061.2,Local,False
2023-10-01 02:49:00,Symphony Orchestra,Early Bird,1,300,18.44,1476.11,Local,False
2023-10-01 02:50:00,Tech Expo,Balcony,6,25,40.33,2194.44,Local,False
2023-10-01 02:51:00,Rock Fest '24,Balcony,2,300,36.31,776.7,International,True
2023-10-01 02:52:00,Rock Fest '24,Early Bird,7,300,10.32,837.41,International,False
2023-10-01 02:53:00,Rock Fest '24,VIP,6,50,10.89,1247.05,Local,False
2023-10-01 02:54:00,Rock Fest '24,Early Bird,4,150,5.33,480.8,Out of State,False
2023-10-01 02:55:00,Symphony Orchestra,Balcony,4,50,29.92,598.02,Local,False
2023-10-01 02:56:00,Comedy Night,VIP,6,300,5.42,738.75,Local,False
2023-10-01 02:57:00,Tech Expo,General Admin,1,150,24.26,78.67,Local,False
2023-10-01 02:58:00,Comedy Night,VIP,2,300,5.67,1458.27,Out of State,False
2023-10-01 02:59:00,Tech Expo,Balcony,2,25,11.17,613.33,Local,False
2023-10-01 03:00:00,Rock Fest '24,Early Bird,4,25,6.11,1344.86,Local,False
2023-10-01 03:01:00,Tech Expo,Balcony,1,150,26.17,1310.57,Local,False
2023-10-01 03:02:00,Rock Fest '24,General Admin,3,300,9.58,1169.37,Local,False
2023-10-01 03:03:00,Symphony Orchestra,VIP,4,300,34.22,1330.67,Out of State,False
2023-10-01 03:04:00,Comedy Night,Early Bird,5,50,19.52,1400.08,Local,False
2023-10-01 03:05:00,Comedy Night,VIP,1,150,26.96,1480.22,Local,False
2023-10-01 03:06:00,Symphony Orchestra,VIP,7,25,37.84,1704.84,Local,False
2023-10-01 03:07:00,Rock Fest '24,VIP,5,50,5.21,1815.41,Out of State,False
2023-10-01 03:08:00,Comedy Night,General Admin,7,25,33.53,1245.31,Out of State,True
2023-10-01 03:09:00,Symphony Orchestra,Balcony,3,150,5.34,1898.13,International,False
2023-10-01 03:10:00,Comedy Night,VIP,6,150,44.97,1012.08,International,False
2023-10-01 03:11:00,Symphony Orchestra,VIP,5,50,10.3,201.04,Out of State,False
2023-10-01 03:12:00,Rock Fest '24,General Admin,6,50,16.31,1323.26,International,False
2023-10-01 03:13:00,Symphony Orchestra,Balcony,6,25,22.52,35.45,Local,False
2023-10-01 03:14:00,Comedy Night,Early Bird,4,50,33.64,1379.62,Out of State,False
2023-10-01 03:15:00,Symphony Orchestra,General Admin,7,50,43.29,217.51,International,False
2023-10-01 03:16:00,Comedy Night,General Admin,6,25,42.98,1246.03,Local,False
2023-10-01 03:17:00,Rock Fest '24,VIP,3,50,35.48,2366.53,Out of State,False
2023-10-01 03:18:00,Tech Expo,Balcony,6,150,37.15,1702.52,Local,False
2023-10-01 03:19:00,Comedy Night,General Admin,7,150,10.39,880.14,Out of State,False
2023-10-01 03:20:00,Symphony Orchestra,Early Bird,3,150,34.31,48.08,International,False
2023-10-01 03:21:00,Comedy Night,Early Bird,5,300,20.5,1301.45,International,False
2023-10-01 03:22:00,Symphony Orchestra,VIP,5,50,9.92,1687.55,Local,False
2023-10-01 03:23:00,Tech Expo,Early Bird,4,150,36.79,2381.31,International,False
2023-10-01 03:24:00,Symphony Orchestra,General Admin,7,150,8.96,1751.83,Local,False
2023-10-01 03:25:00,Symphony Orchestra,VIP,7,300,39.22,711.46,International,False
2023-10-01 03:26:00,Comedy Night,Balcony,3,300,39.39,1841.43,Local,False
2023-10-01 03:27:00,Tech Expo,General Admin,1,25,19.53,1658.07,Local,False
2023-10-01 03:28:00,Rock Fest '24,VIP,3,50,32.8,2051.42,International,False
2023-10-01 03:29:00,Tech Expo,Early Bird,6,300,20.92,285.41,Out of State,False
2023-10-01 03:30:00,Tech Expo,Balcony,4,300,14.37,302.22,Local,False
2023-10-01 03:31:00,Rock Fest '24,VIP,4,50,34.1,1260.63,International,False
2023-10-01 03:32:00,Rock Fest '24,Early Bird,1,50,29.91,1945.95,International,False
2023-10-01 03:33:00,Symphony Orchestra,Balcony,2,300,27.03,1129.23,International,False
2023-10-01 03:34:00,Symphony Orchestra,VIP,7,50,19.36,1087.03,International,True
2023-10-01 03:35:00,Rock Fest '24,Early Bird,5,50,12.62,1727.68,International,False
2023-10-01 03:36:00,Tech Expo,General Admin,1,300,35.06,173.3,Local,False
2023-10-01 03:37:00,Tech Expo,VIP,6,50,21.12,1426.59,Out of State,False
2023-10-01 03:38:00,Tech Expo,Balcony,3,25,40.85,1846.96,Out of State,False
2023-10-01 03:39:00,Symphony Orchestra,General Admin,7,300,11.96,442.43,Out of State,False
2023-10-01 03:40:00,Tech Expo,Balcony,1,50,11.33,1529.25,Local,False
2023-10-01 03:41:00,Rock Fest '24,VIP,6,50,33.22,1302.26,International,False
2023-10-01 03:42:00,Symphony Orchestra,Early Bird,5,300,10.39,468.23,International,False
2023-10-01 03:43:00,Rock Fest '24,General Admin,5,150,32.06,1456.01,International,False
2023-10-01 03:44:00,Rock Fest '24,General Admin,5,150,37.28,2135.07,Out of State,False
2023-10-01 03:45:00,Comedy Night,Balcony,5,300,17.13,1641.65,Out of State,False
2023-10-01 03:46:00,Symphony Orchestra,General Admin,6,300,23.46,960.91,International,False
2023-10-01 03:47:00,Comedy Night,Balcony,7,50,8.29,1752.08,Local,False
2023-10-01 03:48:00,Comedy Night,Early Bird,7,25,39.74,966.31,Local,False
2023-10-01 03:49:00,Symphony Orchestra,Balcony,5,150,21.3,605.69,International,False
2023-10-01 03:50:00,Symphony Orchestra,Balcony,5,25,13.86,1330.15,Local,False
2023-10-01 03:51:00,Rock Fest '24,Early Bird,1,25,23.14,1897.53,Out of State,False
2023-10-01 03:52:00,Symphony Orchestra,Balcony,6,25,21.23,965.78,Out of State,False
2023-10-01 03:53:00,Tech Expo,VIP,3,300,18.06,59.74,Out of State,False
2023-10-01 03:54:00,Rock Fest '24,Early Bird,3,300,23.09,2245.88,International,False
2023-10-01 03:55:00,Tech Expo,Early Bird,2,25,11.82,1855.52,International,False
2023-10-01 03:56:00,Rock Fest '24,VIP,1,50,30.5,410.29,Local,False
2023-10-01 03:57:00,Tech Expo,Early Bird,6,150,31.62,148.88,International,False
2023-10-01 03:58:00,Tech Expo,Early Bird,1,150,6.03,558.22,Out of State,False
2023-10-01 03:59:00,Symphony Orchestra,Balcony,5,300,7.33,1144.91,Local,False
2023-10-01 04:00:00,Comedy Night,General Admin,2,300,33.04,990.79,Local,False
2023-10-01 04:01:00,Symphony Orchestra,General Admin,4,25,13.91,641.08,Local,False
2023-10-01 04:02:00,Tech Expo,Early Bird,7,150,22.38,155.67,Out of State,False
2023-10-01 04:03:00,Rock Fest '24,VIP,2,50,42.58,2332.13,International,False
2023-10-01 04:04:00,Rock Fest '24,General Admin,4,300,27.06,846.42,Out of State,False
2023-10-01 04:05:00,Rock Fest '24,Balcony,5,150,43.05,1555.81,International,False
2023-10-01 04:06:00,Comedy Night,Early Bird,7,50,21.51,352.34,Out of State,False
2023-10-01 04:07:00,Tech Expo,VIP,4,150,24.56,163.83,International,False
2023-10-01 04:08:00,Symphony Orchestra,VIP,2,50,8.68,2092.27,International,False
2023-10-01 04:09:00,Rock Fest '24,Balcony,1,50,40.42,1675.01,Local,False
2023-10-01 04:10:00,Rock Fest '24,General Admin,4,150,5.78,1926.17,Out of State,False
2023-10-01 04:11:00,Comedy Night,Early Bird,4,25,9.88,2165.64,Out of State,False
2023-10-01 04:12:00,Rock Fest '24,VIP,6,150,32.64,2499.23,Local,False
2023-10-01 04:13:00,Symphony Orchestra,Early Bird,3,25,44.78,1216.8,Local,False
2023-10-01 04:14:00,Rock Fest '24,General Admin,5,300,26.46,2151.34,Out of State,False
2023-10-01 04:15:00,Comedy Night,Early Bird,2,150,19.73,935.72,International,False
2023-10-01 04:16:00,Tech Expo,Balcony,4,150,36.77,535.08,Out of State,False
2023-10-01 04:17:00,Rock Fest '24,Early Bird,7,50,6.87,59.41,International,False
2023-10-01 04:18:00,Rock Fest '24,Balcony,6,25,17.23,2451.73,International,False
2023-10-01 04:19:00,Comedy Night,Balcony,6,150,21.82,482.12,Local,False
2023-10-01 04:20:00,Tech Expo,VIP,4,25,36.25,2265.34,International,False
2023-10-01 04:21:00,Rock Fest '24,Balcony,3,300,42.84,330.19,Out of State,False
2023-10-01 04:22:00,Tech Expo,VIP,3,25,18.06,1619.35,Local,False
2023-10-01 04:23:00,Tech Expo,Early Bird,7,25,19.87,625.22,International,False
2023-10-01 04:24:00,Rock Fest '24,Balcony,6,150,32.44,823.26,Local,False
2023-10-01 04:25:00,Symphony Orchestra,VIP,4,300,5.4,491.64,Out of State,False
2023-10-01 04:26:00,Rock Fest '24,Early Bird,2,50,15.98,2372.03,Local,False
2023-10-01 04:27:00,Symphony Orchestra,General Admin,2,50,14.79,1320.96,Local,True
2023-10-01 04:28:00,Symphony Orchestra,Early Bird,6,25,23.8,362.39,International,False
2023-10-01 04:29:00,Symphony Orchestra,VIP,7,300,9.22,1709.8,Local,False
2023-10-01 04:30:00,Comedy Night,General Admin,4,25,40.06,2117.96,International,False
2023-10-01 04:31:00,Tech Expo,General Admin,2,150,30.48,1084.35,Local,False
2023-10-01 04:32:00,Comedy Night,Balcony,6,300,23.95,359.62,Local,False
2023-10-01 04:33:00,Symphony Orchestra,Balcony,1,25,42.72,1578.88,Local,False
2023-10-01 04:34:00,Symphony Orchestra,VIP,5,50,39.19,1124.23,International,False
2023-10-01 04:35:00,Comedy Night,General Admin,3,300,18.79,1515.73,Out of State,False
2023-10-01 04:36:00,Symphony Orchestra,VIP,5,25,43.67,2087.94,Local,False
2023-10-01 04:37:00,Rock Fest '24,Balcony,3,150,7.86,430.34,Out of State,False
2023-10-01 04:38:00,Comedy Night,VIP,7,25,21.61,238.24,Out of State,False
2023-10-01 04:39:00,Comedy Night,Early Bird,6,25,25.19,1788.89,International,False
2023-10-01 04:40:00,Rock Fest '24,Balcony,3,300,16.5,1584.33,International,False
2023-10-01 04:41:00,Symphony Orchestra,VIP,1,25,19.13,121.21,Out of State,False
2023-10-01 04:42:00,Symphony Orchestra,Balcony,3,300,19.84,257.73,Local,False
2023-10-01 04:43:00,Comedy Night,Early Bird,1,300,9.08,1736.94,Local,False
2023-10-01 04:44:00,Comedy Night,General Admin,5,300,34.12,1000.7,Local,False
2023-10-01 04:45:00,Comedy Night,VIP,3,25,17.15,2418.4,Local,False
2023-10-01 04:46:00,Symphony Orchestra,Balcony,7,50,21.81,62.5,International,False
2023-10-01 04:47:00,Tech Expo,Balcony,3,150,44.55,793.41,Out of State,False
2023-10-01 04:48:00,Comedy Night,Balcony,3,300,10.99,628.87,Out of State,False
2023-10-01 04:49:00,Symphony Orchestra,VIP,4,50,8.39,955.5,Local,False
2023-10-01 04:50:00,Rock Fest '24,Balcony,3,150,26.62,1665.31,Out of State,False
2023-10-01 04:51:00,Symphony Orchestra,VIP,1,25,9.58,1820.98,Local,False
2023-10-01 04:52:00,Symphony Orchestra,VIP,3,150,18.24,982.81,Local,False
2023-10-01 04:53:00,Tech Expo,Balcony,6,150,32.62,1056.73,International,False
2023-10-01 04:54:00,Symphony Orchestra,VIP,6,300,43.36,2168.22,Out of State,False
2023-10-01 04:55:00,Comedy Night,VIP,3,300,37.65,1444.3,International,False
2023-10-01 04:56:00,Symphony Orchestra,VIP,5,50,31.54,246.31,Local,False
2023-10-01 04:57:00,Rock Fest '24,VIP,3,150,42.45,1748.87,International,False
2023-10-01 04:58:00,Rock Fest '24,Balcony,5,25,37.21,140.68,International,False
2023-10-01 04:59:00,Tech Expo,VIP,3,25,28.26,641.59,Local,False
2023-10-01 05:00:00,Symphony Orchestra,General Admin,2,300,12.68,2287.28,International,False
2023-10-01 05:01:00,Comedy Night,Early Bird,5,50,8.99,827.81,Local,False
2023-10-01 05:02:00,Tech Expo,Early Bird,3,25,21.33,1025.17,Local,True
2023-10-01 05:03:00,Rock Fest '24,General Admin,4,300,14.14,1868.74,Out of State,True
2023-10-01 05:04:00,Tech Expo,VIP,4,150,9.43,149.19,Out of State,False
2023-10-01 05:05:00,Tech Expo,Early Bird,4,50,15.98,1271.66,International,False
2023-10-01 05:06:00,Symphony Orchestra,VIP,1,150,35.1,2398.97,Out of State,False
2023-10-01 05:07:00,Rock Fest '24,Balcony,3,300,26.67,2156.42,International,False
2023-10-01 05:08:00,Rock Fest '24,General Admin,1,25,40.94,1411.29,Out of State,False
2023-10-01 05:09:00,Rock Fest '24,Balcony,2,50,25.84,1780.9,Local,False
2023-10-01 05:10:00,Rock Fest '24,General Admin,7,300,19.33,725.54,Local,False
2023-10-01 05:11:00,Rock Fest '24,Early Bird,5,150,44.61,1161.88,Out of State,False
2023-10-01 05:12:00,Rock Fest '24,Early Bird,3,300,10.26,1570.07,International,False
2023-10-01 05:13:00,Symphony Orchestra,General Admin,2,150,20.84,2296.61,Out of State,False
