date,revenue,product,region
2020-01-01 01:43:00,362.41,Prod B,West
2020-01-01 01:44:00,291.26,Prod C,North
2020-01-01 01:45:00,184.33,Prod A,East
2020-01-01 01:46:00,745.9,Prod C,East
2020-01-01 01:47:00,259.55,Prod B,East
2020-01-01 01:48:00,459.63,Prod B,South
2020-01-01 01:49:00,392.0,Prod A,East
2020-01-01 01:50:00,982.26,Prod B,East
2020-01-01 01:51:00,397.18,Prod C,South
2020-01-01 01:52:00,89.18,Prod B,South
2020-01-01 01:53:00,98.93,Prod A,North
2020-01-01 01:54:00,594.85,Prod B,East
2020-01-01 01:55:00,603.37,Prod A,North
2020-01-01 01:56:00,424.57,Prod B,North
2020-01-01 01:57:00,437.53,Prod A,East
2020-01-01 01:58:00,63.39,Prod A,South
2020-01-01 01:59:00,521.38,Prod B,West
2020-01-01 02:00:00,509.69,Prod C,West
2020-01-01 02:01:00,158.05,Prod A,North
2020-01-01 02:02:00,112.8,Prod B,South
2020-01-01 02:03:00,132.34,Prod C,North
2020-01-01 02:04:00,110.02,Prod C,East
2020-01-01 02:05:00,613.61,Prod C,North
2020-01-01 02:06:00,204.52,Prod C,West
2020-01-01 02:07:00,258.92,Prod A,West
2020-01-01 02:08:00,181.84,Prod A,West
2020-01-01 02:09:00,958.26,Prod A,West
2020-01-01 02:10:00,856.07,Prod C,North
2020-01-01 02:11:00,238.19,Prod A,North
2020-01-01 02:12:00,334.29,Prod B,West
2020-01-01 02:13:00,217.79,Prod C,South
2020-01-01 02:14:00,496.96,Prod B,West
2020-01-01 02:15:00,29.41,Prod C,West
2020-01-01 02:16:00,674.65,Prod B,East
2020-01-01 02:17:00,527.93,Prod B,South
2020-01-01 02:18:00,899.65,Prod B,East
2020-01-01 02:19:00,172.75,Prod A,West
2020-01-01 02:20:00,806.07,Prod A,East
2020-01-01 02:21:00,794.04,Prod C,North
2020-01-01 02:22:00,135.91,Prod A,South
2020-01-01 02:23:00,404.57,Prod A,West
2020-01-01 02:24:00,178.45,Prod A,West
2020-01-01 02:25:00,262.17,Prod C,South
2020-01-01 02:26:00,270.61,Prod C,East
2020-01-01 02:27:00,560.67,Prod A,North
2020-01-01 02:28:00,417.3,Prod C,North
2020-01-01 02:29:00,948.26,Prod C,East
2020-01-01 02:30:00,135.11,Prod C,North
2020-01-01 02:31:00,973.96,Prod A,South
2020-01-01 02:32:00,238.33,Prod A,North
2020-01-01 02:33:00,775.15,Prod B,East
2020-01-01 02:34:00,345.58,Prod B,East
2020-01-01 02:35:00,151.65,Prod B,West
2020-01-01 02:36:00,859.31,Prod C,South
2020-01-01 02:37:00,315.77,Prod B,North
2020-01-01 02:38:00,662.27,Prod B,West
2020-01-01 02:39:00,570.78,Prod C,West
2020-01-01 02:40:00,477.04,Prod C,West
2020-01-01 02:41:00,500.86,Prod A,East
2020-01-01 02:42:00,734.92,Prod B,South
2020-01-01 02:43:00,96.9,Prod A,South
2020-01-01 02:44:00,671.5,Prod C,East
2020-01-01 02:45:00,896.85,Prod B,South
2020-01-01 02:46:00,67.21,Prod B,West
2020-01-01 02:47:00,149.25,Prod B,South
2020-01-01 02:48:00,719.47,Prod A,North
2020-01-01 02:49:00,442.91,Prod B,East
2020-01-01 02:50:00,409.51,Prod A,West
2020-01-01 02:51:00,145.6,Prod A,West
2020-01-01 02:52:00,511.7,Prod C,East
2020-01-01 02:53:00,135.28,Prod B,North
2020-01-01 02:54:00,481.85,Prod A,West
2020-01-01 02:55:00,765.98,Prod B,West
2020-01-01 02:56:00,265.68,Prod B,South
2020-01-01 02:57:00,485.98,Prod C,East
2020-01-01 02:58:00,992.1,Prod A,East
2020-01-01 02:59:00,689.78,Prod A,East
2020-01-01 03:00:00,842.94,Prod C,East
2020-01-01 03:01:00,420.7,Prod A,West
2020-01-01 03:02:00,770.18,Prod A,South
2020-01-01 03:03:00,50.1,Prod A,North
2020-01-01 03:04:00,131.68,Prod C,North
2020-01-01 03:05:00,211.04,Prod A,North
2020-01-01 03:06:00,407.93,Prod B,South
2020-01-01 03:07:00,847.29,Prod C,South
2020-01-01 03:08:00,352.8,Prod C,West
2020-01-01 03:09:00,658.07,Prod C,West
2020-01-01 03:10:00,712.22,Prod A,West
2020-01-01 03:11:00,590.32,Prod C,West
2020-01-01 03:12:00,363.67,Prod A,East
2020-01-01 03:13:00,581.28,Prod B,South
2020-01-01 03:14:00,348.84,Prod C,North
2020-01-01 03:15:00,93.04,Prod C,North
2020-01-01 03:16:00,992.88,Prod C,South
2020-01-01 03:17:00,135.91,Prod B,East
2020-01-01 03:18:00,81.62,Prod A,North
2020-01-01 03:19:00,879.75,Prod C,South
2020-01-01 03:20:00,308.82,Prod B,West
2020-01-01 03:21:00,653.79,Prod A,North
2020-01-01 03:22:00,335.72,Prod C,West
2020-01-01 03:23:00,397.54,Prod A,East
2020-01-01 03:24:00,269.49,Prod C,North
2020-01-01 03:25:00,349.61,Prod B,North
2020-01-01 03:26:00,416.59,Prod A,South
2020-01-01 03:27:00,723.21,Prod B,North
2020-01-01 03:28:00,516.42,Prod C,North
2020-01-01 03:29:00,944.13,Prod B,South
2020-01-01 03:30:00,51.46,Prod A,North
2020-01-01 03:31:00,508.04,Prod A,South
2020-01-01 03:32:00,588.38,Prod C,East
2020-01-01 03:33:00,921.0,Prod A,West
2020-01-01 03:34:00,58.67,Prod C,East
2020-01-01 03:35:00,577.76,Prod B,East
2020-01-01 03:36:00,855.09,Prod B,East
2020-01-01 03:37:00,249.51,Prod B,East
2020-01-01 03:38:00,877.53,Prod C,South
2020-01-01 03:39:00,28.85,Prod B,South
2020-01-01 03:40:00,735.13,Prod C,North
2020-01-01 03:41:00,933.78,Prod B,North
2020-01-01 03:42:00,660.63,Prod B,East
2020-01-01 03:43:00,444.64,Prod A,East
2020-01-01 03:44:00,54.43,Prod B,North
2020-01-01 03:45:00,920.91,Prod B,East
2020-01-01 03:46:00,475.59,Prod C,South
2020-01-01 03:47:00,38.71,Prod A,South
2020-01-01 03:48:00,692.92,Prod C,East
2020-01-01 03:49:00,487.02,Prod B,South
2020-01-01 03:50:00,133.1,Prod B,North
2020-01-01 03:51:00,222.13,Prod A,South
2020-01-01 03:52:00,73.85,Prod B,East
2020-01-01 03:53:00,578.55,Prod C,South
2020-01-01 03:54:00,625.81,Prod C,East
2020-01-01 03:55:00,510.68,Prod A,East
2020-01-01 03:56:00,818.93,Prod B,South
2020-01-01 03:57:00,862.4,Prod A,East
2020-01-01 03:58:00,619.47,Prod B,West
2020-01-01 03:59:00,22.63,Prod B,South
2020-01-01 04:00:00,698.28,Prod B,West
2020-01-01 04:01:00,423.82,Prod C,North
2020-01-01 04:02:00,569.9,Prod A,East
2020-01-01 04:03:00,652.59,Prod C,West
2020-01-01 04:04:00,356.73,Prod C,East
2020-01-01 04:05:00,917.93,Prod C,East
2020-01-01 04:06:00,142.64,Prod A,North
2020-01-01 04:07:00,674.8,Prod C,South
2020-01-01 04:08:00,14.32,Prod C,South
2020-01-01 04:09:00,925.4,Prod B,North
2020-01-01 04:10:00,121.38,Prod B,East
2020-01-01 04:11:00,103.94,Prod C,North
2020-01-01 04:12:00,339.68,Prod A,South
2020-01-01 04:13:00,379.83,Prod C,East
2020-01-01 04:14:00,222.16,Prod A,South
2020-01-01 04:15:00,589.27,Prod B,North
2020-01-01 04:16:00,448.48,Prod A,West
2020-01-01 04:17:00,43.83,Prod C,West
2020-01-01 04:18:00,326.46,Prod B,North
2020-01-01 04:19:00,812.33,Prod A,East
2020-01-01 04:20:00,692.8,Prod C,West
2020-01-01 04:21:00,727.62,Prod C,West
2020-01-01 04:22:00,701.14,Prod A,North
2020-01-01 04:23:00,317.86,Prod A,North
2020-01-01 04:24:00,108.67,Prod A,West
2020-01-01 04:25:00,279.74,Prod C,West
2020-01-01 04:26:00,833.47,Prod B,East
2020-01-01 04:27:00,980.67,Prod B,North
2020-01-01 04:28:00,498.91,Prod C,East
2020-01-01 04:29:00,19.6,Prod A,North
2020-01-01 04:30:00,148.64,Prod C,North
2020-01-01 04:31:00,328.86,Prod C,North
2020-01-01 04:32:00,582.8,Prod C,North
2020-01-01 04:33:00,84.34,Prod C,South
2020-01-01 04:34:00,943.92,Prod B,East
2020-01-01 04:35:00,371.43,Prod A,North
2020-01-01 04:36:00,913.46,Prod C,East
2020-01-01 04:37:00,782.72,Prod C,West
2020-01-01 04:38:00,757.88,Prod A,East
2020-01-01 04:39:00,610.65,Prod A,South
2020-01-01 04:40:00,630.52,Prod C,North
2020-01-01 04:41:00,641.62,Prod C,North
2020-01-01 04:42:00,632.43,Prod A,South
2020-01-01 04:43:00,558.19,Prod A,North
2020-01-01 04:44:00,986.55,Prod B,South
2020-01-01 04:45:00,734.97,Prod C,West
2020-01-01 04:46:00,779.18,Prod A,West
2020-01-01 04:47:00,873.74,Prod A,North
2020-01-01 04:48:00,223.48,Prod B,South
2020-01-01 04:49:00,92.97,Prod B,South
2020-01-01 04:50:00,488.07,Prod A,West
2020-01-01 04:51:00,518.94,Prod C,East
2020-01-01 04:52:00,830.89,Prod C,South
2020-01-01 04:53:00,449.35,Prod C,North
2020-01-01 04:54:00,575.14,Prod B,North
2020-01-01 04:55:00,531.8,Prod A,North
2020-01-01 04:56:00,47.82,Prod A,South
2020-01-01 04:57:00,619.06,Prod B,West
2020-01-01 04:58:00,829.76,Prod C,North
2020-01-01 04:59:00,165.93,Prod A,South
2020-01-01 05:00:00,598.39,Prod C,South
2020-01-01 05:01:00,597.67,Prod A,South
2020-01-01 05:02:00,172.54,Prod B,North
2020-01-01 05:03:00,132.23,Prod B,South
2020-01-01 05:04:00,980.25,Prod C,West
2020-01-01 05:05:00,399.78,Prod B,North
2020-01-01 05:06:00,235.15,Prod A,North
2020-01-01 05:07:00,179.61,Prod B,West
2020-01-01 05:08:00,670.93,Prod C,East
2020-01-01 05:09:00,613.35,Prod B,West
2020-01-01 05:10:00,647.12,Prod A,West
2020-01-01 05:11:00,97.13,Prod B,South
2020-01-01 05:12:00,894.6,Prod A,North
2020-01-01 05:13:00,395.37,Prod C,North
2020-01-01 05:14:00,320.24,Prod A,South
2020-01-01 05:15:00,467.74,Prod B,South
2020-01-01 05:16:00,396.17,Prod B,East
2020-01-01 05:17:00,864.94,Prod C,North
2020-01-01 05:18:00,929.97,Prod B,West
2020-01-01 05:19:00,310.42,Prod C,West
2020-01-01 05:20:00,865.3,Prod C,East
2020-01-01 05:21:00,783.71,Prod A,South
2020-01-01 05:22:00,931.5,Prod B,West
2020-01-01 05:23:00,253.29,Prod A,West
2020-01-01 05:24:00,581.19,Prod C,West
2020-01-01 05:25:00,281.8,Prod C,West
2020-01-01 05:26:00,825.85,Prod C,South
2020-01-01 05:27:00,15.27,Prod A,North
2020-01-01 05:28:00,569.17,Prod A,East
2020-01-01 05:29:00,345.81,Prod C,East
2020-01-01 05:30:00,329.46,Prod B,East
2020-01-01 05:31:00,648.46,Prod B,East
2020-01-01 05:32:00,852.97,Prod B,South
2020-01-01 05:33:00,613.1,Prod C,South
2020-01-01 05:34:00,854.64,Prod C,North
2020-01-01 05:35:00,271.95,Prod B,South
2020-01-01 05:36:00,524.31,Prod A,South
2020-01-01 05:37:00,456.03,Prod B,North
2020-01-01 05:38:00,21.53,Prod A,South
2020-01-01 05:39:00,561.24,Prod B,North
2020-01-01 05:40:00,664.91,Prod C,South
2020-01-01 05:41:00,596.0,Prod B,South
2020-01-01 05:42:00,738.92,Prod A,East
2020-01-01 05:43:00,575.63,Prod A,North
2020-01-01 05:44:00,76.08,Prod B,West
2020-01-01 05:45:00,125.28,Prod C,West
2020-01-01 05:46:00,600.51,Prod C,East
2020-01-01 05:47:00,282.23,Prod A,East
2020-01-01 05:48:00,88.85,Prod C,East
2020-01-01 05:49:00,435.31,Prod B,West
2020-01-01 05:50:00,558.78,Prod A,East
2020-01-01 05:51:00,335.46,Prod A,East
2020-01-01 05:52:00,723.23,Prod B,North
2020-01-01 05:53:00,647.33,Prod B,East
2020-01-01 05:54:00,339.49,Prod B,North
2020-01-01 05:55:00,757.32,Prod C,East
2020-01-01 05:56:00,652.21,Prod C,South
2020-01-01 05:57:00,641.07,Prod C,South
2020-01-01 05:58:00,557.89,Prod B,South
2020-01-01 05:59:00,21.28,Prod C,South
2020-01-01 06:00:00,699.54,Prod C,North
2020-01-01 06:01:00,382.28,Prod B,East
2020-01-01 06:02:00,943.18,Prod B,North
2020-01-01 06:03:00,819.8,Prod B,North
2020-01-01 06:04:00,591.82,Prod A,North
2020-01-01 06:05:00,259.66,Prod B,West
2020-01-01 06:06:00,211.68,Prod B,East
2020-01-01 06:07:00,346.98,Prod C,West
2020-01-01 06:08:00,481.8,Prod A,South
2020-01-01 06:09:00,303.1,Prod C,South
2020-01-01 06:10:00,519.78,Prod A,West
2020-01-01 06:11:00,173.72,Prod B,North
2020-01-01 06:12:00,977.94,Prod A,South
2020-01-01 06:13:00,116.85,Prod B,South
2020-01-01 06:14:00,932.62,Prod A,East
2020-01-01 06:15:00,914.44,Prod C,North
2020-01-01 06:16:00,530.11,Prod A,West
2020-01-01 06:17:00,727.66,Prod A,North
2020-01-01 06:18:00,441.69,Prod B,North
2020-01-01 06:19:00,633.73,Prod C,North
2020-01-01 06:20:00,347.17,Prod C,South
2020-01-01 06:21:00,308.15,Prod B,South
2020-01-01 06:22:00,582.45,Prod B,South
2020-01-01 06:23:00,503.15,Prod C,West
2020-01-01 06:24:00,583.74,Prod A,West
2020-01-01 06:25:00,293.79,Prod C,West
2020-01-01 06:26:00,373.29,Prod C,North
2020-01-01 06:27:00,93.06,Prod C,West
2020-01-01 06:28:00,61.75,Prod B,East
2020-01-01 06:29:00,260.92,Prod B,South
2020-01-01 06:30:00,83.5,Prod A,North
2020-01-01 06:31:00,112.74,Prod A,North
2020-01-01 06:32:00,814.8,Prod C,West
2020-01-01 06:33:00,48.48,Prod B,North
2020-01-01 06:34:00,662.35,Prod C,South
2020-01-01 06:35:00,279.83,Prod B,North
2020-01-01 06:36:00,872.83,Prod C,West
2020-01-01 06:37:00,490.14,Prod A,West
2020-01-01 06:38:00,312.52,Prod C,East
2020-01-01 06:39:00,522.46,Prod B,South
2020-01-01 06:40:00,388.14,Prod B,South
2020-01-01 06:41:00,568.66,Prod C,North
2020-01-01 06:42:00,123.39,Prod A,South
2020-01-01 06:43:00,997.02,Prod C,North
2020-01-01 06:44:00,431.3,Prod C,North
2020-01-01 06:45:00,354.75,Prod B,North
2020-01-01 06:46:00,713.11,Prod B,West
2020-01-01 06:47:00,370.26,Prod A,South
2020-01-01 06:48:00,834.94,Prod C,North
2020-01-01 06:49:00,459.73,Prod A,East
2020-01-01 06:50:00,722.36,Prod C,North
2020-01-01 06:51:00,116.38,Prod A,North
2020-01-01 06:52:00,847.66,Prod C,South
2020-01-01 06:53:00,738.36,Prod A,North
2020-01-01 06:54:00,219.6,Prod C,South
2020-01-01 06:55:00,153.83,Prod B,West
2020-01-01 06:56:00,323.13,Prod C,South
2020-01-01 06:57:00,976.31,Prod C,South
2020-01-01 06:58:00,264.26,Prod B,East
2020-01-01 06:59:00,461.57,Prod C,East
2020-01-01 07:00:00,39.72,Prod A,East
2020-01-01 07:01:00,403.26,Prod C,East
2020-01-01 07:02:00,575.61,Prod A,South
2020-01-01 07:03:00,953.59,Prod B,East
2020-01-01 07:04:00,521.57,Prod A,South
2020-01-01 07:05:00,820.92,Prod B,East
2020-01-01 07:06:00,551.66,Prod A,West
2020-01-01 07:07:00,50.38,Prod B,East
2020-01-01 07:08:00,321.86,Prod C,East
2020-01-01 07:09:00,579.79,Prod A,North
2020-01-01 07:10:00,951.09,Prod B,North
2020-01-01 07:11:00,860.54,Prod C,North
2020-01-01 07:12:00,236.07,Prod C,South
2020-01-01 07:13:00,227.91,Prod B,East
2020-01-01 07:14:00,209.16,Prod B,West
2020-01-01 07:15:00,923.27,Prod A,North
2020-01-01 07:16:00,854.14,Prod B,South
2020-01-01 07:17:00,777.13,Prod C,West
2020-01-01 07:18:00,398.81,Prod B,North
2020-01-01 07:19:00,509.34,Prod A,West
2020-01-01 07:20:00,469.69,Prod A,South
2020-01-01 07:21:00,260.86,Prod A,South
2020-01-01 07:22:00,509.98,Prod A,West
2020-01-01 07:23:00,40.19,Prod A,North
2020-01-01 07:24:00,140.49,Prod A,South
2020-01-01 07:25:00,887.72,Prod B,West
2020-01-01 07:26:00,754.16,Prod A,North
2020-01-01 07:27:00,428.64,Prod B,East
2020-01-01 07:28:00,521.98,Prod B,East
2020-01-01 07:29:00,376.3,Prod C,West
2020-01-01 07:30:00,743.37,Prod B,South
2020-01-01 07:31:00,786.35,Prod B,West
2020-01-01 07:32:00,765.65,Prod B,North
2020-01-01 07:33:00,725.39,Prod A,East
2020-01-01 07:34:00,212.46,Prod B,South
2020-01-01 07:35:00,344.59,Prod C,East
2020-01-01 07:36:00,475.15,Prod B,North
2020-01-01 07:37:00,337.49,Prod A,West
2020-01-01 07:38:00,757.39,Prod B,South
2020-01-01 07:39:00,336.06,Prod A,West
2020-01-01 07:40:00,146.85,Prod A,South
2020-01-01 07:41:00,405.05,Prod A,West
2020-01-01 07:42:00,980.12,Prod B,West
2020-01-01 07:43:00,233.62,Prod B,South
2020-01-01 07:44:00,616.04,Prod B,West
2020-01-01 07:45:00,438.64,Prod C,South
2020-01-01 07:46:00,80.31,Prod C,South
2020-01-01 07:47:00,493.0,Prod A,East
2020-01-01 07:48:00,705.14,Prod C,South
2020-01-01 07:49:00,518.09,Prod B,West
2020-01-01 07:50:00,873.39,Prod B,West
2020-01-01 07:51:00,296.05,Prod B,East
2020-01-01 07:52:00,95.39,Prod C,East
2020-01-01 07:53:00,937.2,Prod A,South
2020-01-01 07:54:00,384.41,Prod C,West
2020-01-01 07:55:00,580.64,Prod A,South
2020-01-01 07:56:00,794.08,Prod B,North
2020-01-01 07:57:00,331.07,Prod A,West
2020-01-01 07:58:00,719.0,Prod C,North
2020-01-01 07:59:00,144.06,Prod C,West
2020-01-01 08:00:00,298.38,Prod C,North
2020-01-01 08:01:00,153.26,Prod B,East
2020-01-01 08:02:00,813.12,Prod B,North
2020-01-01 08:03:00,230.42,Prod C,West
2020-01-01 08:04:00,720.23,Prod B,East
2020-01-01 08:05:00,943.87,Prod C,West
2020-01-01 08:06:00,532.49,Prod A,East
2020-01-01 08:07:00,544.63,Prod A,West
2020-01-01 08:08:00,466.42,Prod B,East
2020-01-01 08:09:00,332.63,Prod B,West
2020-01-01 08:10:00,480.9,Prod B,South
2020-01-01 08:11:00,606.78,Prod B,East
2020-01-01 08:12:00,986.13,Prod A,West
2020-01-01 08:13:00,938.39,Prod C,North
2020-01-01 08:14:00,863.53,Prod C,North
2020-01-01 08:15:00,890.24,Prod B,North
2020-01-01 08:16:00,473.17,Prod C,North
2020-01-01 08:17:00,660.87,Prod B,East
2020-01-01 08:18:00,896.12,Prod C,West
2020-01-01 08:19:00,399.02,Prod B,North
2020-01-01 08:20:00,962.14,Prod B,East
2020-01-01 08:21:00,421.63,Prod C,South
2020-01-01 08:22:00,605.07,Prod B,North
2020-01-01 08:23:00,712.71,Prod C,East
2020-01-01 08:24:00,951.09,Prod A,East
2020-01-01 08:25:00,252.17,Prod B,West
2020-01-01 08:26:00,748.67,Prod B,East
2020-01-01 08:27:00,525.61,Prod A,North
2020-01-01 08:28:00,275.87,Prod B,North
2020-01-01 08:29:00,778.84,Prod A,North
2020-01-01 08:30:00,556.7,Prod C,East
2020-01-01 08:31:00,664.36,Prod A,East
2020-01-01 08:32:00,329.67,Prod C,South
2020-01-01 08:33:00,486.46,Prod A,East
2020-01-01 08:34:00,621.18,Prod A,East
2020-01-01 08:35:00,410.86,Prod A,South
2020-01-01 08:36:00,206.39,Prod B,North
2020-01-01 08:37:00,962.02,Prod B,East
2020-01-01 08:38:00,516.35,Prod B,South
2020-01-01 08:39:00,736.58,Prod B,West
2020-01-01 08:40:00,416.94,Prod C,East
2020-01-01 08:41:00,361.58,Prod A,South
2020-01-01 08:42:00,413.09,Prod C,West
2020-01-01 08:43:00,415.1,Prod A,West
2020-01-01 08:44:00,548.74,Prod A,North
2020-01-01 08:45:00,548.04,Prod C,West
2020-01-01 08:46:00,502.18,Prod A,East
2020-01-01 08:47:00,143.44,Prod B,West
2020-01-01 08:48:00,501.11,Prod B,South
2020-01-01 08:49:00,177.41,Prod C,North
2020-01-01 08:50:00,134.87,Prod C,South
2020-01-01 08:51:00,933.32,Prod C,West
2020-01-01 08:52:00,608.9,Prod B,South
2020-01-01 08:53:00,662.9,Prod A,East
2020-01-01 08:54:00,407.78,Prod C,North
2020-01-01 08:55:00,909.89,Prod A,West
2020-01-01 08:56:00,641.55,Prod A,East
2020-01-01 08:57:00,771.48,Prod C,West
2020-01-01 08:58:00,374.88,Prod C,North
2020-01-01 08:59:00,960.41,Prod B,East
2020-01-01 09:00:00,822.26,Prod C,West
2020-01-01 09:01:00,855.41,Prod B,North
2020-01-01 09:02:00,180.47,Prod B,South
2020-01-01 09:03:00,278.25,Prod A,North
2020-01-01 09:04:00,292.77,Prod B,West
2020-01-01 09:05:00,278.2,Prod A,West
2020-01-01 09:06:00,856.85,Prod B,South
2020-01-01 09:07:00,41.57,Prod C,South
2020-01-01 09:08:00,85.34,Prod A,East
2020-01-01 09:09:00,281.18,Prod C,West
2020-01-01 09:10:00,207.87,Prod A,North
2020-01-01 09:11:00,239.54,Prod B,East
2020-01-01 09:12:00,799.96,Prod A,North
2020-01-01 09:13:00,567.5,Prod C,North
2020-01-01 09:14:00,15.71,Prod A,West
2020-01-01 09:15:00,435.03,Prod C,East
2020-01-01 09:16:00,413.81,Prod A,West
2020-01-01 09:17:00,122.81,Prod B,North
2020-01-01 09:18:00,679.38,Prod A,West
2020-01-01 09:19:00,705.08,Prod C,East
2020-01-01 09:20:00,723.68,Prod B,South
2020-01-01 09:21:00,731.19,Prod A,South
2020-01-01 09:22:00,10.05,Prod B,North
2020-01-01 09:23:00,954.38,Prod C,East
2020-01-01 09:24:00,816.07,Prod B,North
2020-01-01 09:25:00,904.94,Prod C,South
2020-01-01 09:26:00,25.49,Prod A,North
2020-01-01 09:27:00,934.52,Prod C,South
2020-01-01 09:28:00,811.69,Prod C,West
2020-01-01 09:29:00,838.85,Prod C,West
2020-01-01 09:30:00,102.35,Prod C,West
2020-01-01 09:31:00,741.39,Prod A,South
2020-01-01 09:32:00,960.32,Prod C,West
2020-01-01 09:33:00,681.76,Prod C,West
2020-01-01 09:34:00,574.86,Prod A,South
2020-01-01 09:35:00,946.17,Prod C,East
2020-01-01 09:36:00,448.51,Prod A,East
2020-01-01 09:37:00,603.3,Prod A,South
2020-01-01 09:38:00,481.57,Prod C,West
2020-01-01 09:39:00,933.52,Prod B,South
2020-01-01 09:40:00,85.32,Prod A,South
2020-01-01 09:41:00,506.11,Prod A,South
