timestamp,sku_name,customer_type,qty_sold,unit_price,total_receipt,payment_type
2023-08-02 05:00:00,Eraser,School Bulk,2,1.2,1305.78,Cash
2023-08-02 06:00:00,Gel Pen (Black),School Bulk,1,6.13,33.68,Card
2023-08-02 07:00:00,Geometry Box,Teacher,1,13.3,822.1,Cash
2023-08-02 08:00:00,Eraser,Office Corp,1,16.45,517.53,Cash
2023-08-02 09:00:00,Eraser,Walk-in,1,17.47,1478.65,School PO
2023-08-02 10:00:00,Gel Pen (Black),Office Corp,2,19.52,1312.66,School PO
2023-08-02 11:00:00,Geometry Box,School Bulk,100,15.9,1439.59,School PO
2023-08-02 12:00:00,Gel Pen (Black),School Bulk,2,17.52,676.58,Cash
2023-08-02 13:00:00,Binders (10pk),Office Corp,1,10.64,188.67,Card
2023-08-02 14:00:00,Geometry Box,Walk-in,5,13.3,348.4,Cash
2023-08-02 15:00:00,Gel Pen (Black),Teacher,2,7.41,186.17,Cash
2023-08-02 16:00:00,Geometry Box,Office Corp,1,10.79,1220.82,Card
2023-08-02 17:00:00,Stapler,School Bulk,2,8.46,188.8,Cash
2023-08-02 18:00:00,Binders (10pk),Walk-in,100,4.51,166.07,Card
2023-08-02 19:00:00,Gel Pen (Black),School Bulk,1,23.05,1371.74,Card
2023-08-02 20:00:00,A4 Paper Ream,Office Corp,2,13.57,847.76,School PO
2023-08-02 21:00:00,Eraser,Walk-in,50,7.45,566.41,Cash
2023-08-02 22:00:00,A4 Paper Ream,Walk-in,2,3.73,1308.98,Cash
2023-08-02 23:00:00,Geometry Box,Walk-in,1,13.55,1199.75,School PO
2023-08-03 00:00:00,Eraser,Walk-in,1,13.56,663.0,School PO
2023-08-03 01:00:00,Geometry Box,Walk-in,2,15.71,291.83,Cash
2023-08-03 02:00:00,Stapler,Walk-in,100,6.83,697.01,School PO
2023-08-03 03:00:00,Eraser,Walk-in,2,9.87,960.16,Card
2023-08-03 04:00:00,Stapler,Walk-in,1,3.94,1338.67,Card
2023-08-03 05:00:00,Stapler,Walk-in,1,6.26,268.35,School PO
2023-08-03 06:00:00,Stapler,School Bulk,5,8.68,998.89,Cash
2023-08-03 07:00:00,Binders (10pk),School Bulk,500,3.13,580.05,Cash
2023-08-03 08:00:00,Geometry Box,Walk-in,1,23.97,649.39,Cash
2023-08-03 09:00:00,A4 Paper Ream,Office Corp,1,24.65,1430.61,Cash
2023-08-03 10:00:00,Eraser,Walk-in,5,17.7,568.21,Cash
2023-08-03 11:00:00,Binders (10pk),Office Corp,5,22.28,305.73,School PO
2023-08-03 12:00:00,Gel Pen (Black),Walk-in,2,11.96,275.36,Cash
2023-08-03 13:00:00,Stapler,Office Corp,1,18.6,673.83,Cash
2023-08-03 14:00:00,A4 Paper Ream,Walk-in,2,0.43,235.04,Card
2023-08-03 15:00:00,Eraser,School Bulk,2,22.15,1472.99,School PO
2023-08-03 16:00:00,Gel Pen (Black),Walk-in,1,1.87,1111.39,Card
2023-08-03 17:00:00,Geometry Box,School Bulk,1,2.17,957.87,Cash
2023-08-03 18:00:00,Stapler,Walk-in,1,24.54,779.73,Card
2023-08-03 19:00:00,Binders (10pk),Walk-in,100,24.14,1205.36,Card
2023-08-03 20:00:00,Geometry Box,School Bulk,2,4.25,992.69,Card
2023-08-03 21:00:00,Binders (10pk),Office Corp,1,2.98,911.02,School PO
2023-08-03 22:00:00,Gel Pen (Black),Walk-in,2,0.91,1279.34,School PO
2023-08-03 23:00:00,Binders (10pk),Office Corp,1,14.26,381.57,School PO
2023-08-04 00:00:00,Binders (10pk),Walk-in,2,5.49,1193.02,Cash
2023-08-04 01:00:00,Geometry Box,Office Corp,500,3.42,869.7,Cash
2023-08-04 02:00:00,A4 Paper Ream,Office Corp,1,17.11,561.48,Cash
2023-08-04 03:00:00,Binders (10pk),Office Corp,5,12.09,1097.37,Cash
2023-08-04 04:00:00,Eraser,Walk-in,100,14.8,615.42,School PO
2023-08-04 05:00:00,Stapler,School Bulk,2,3.25,435.28,Cash
2023-08-04 06:00:00,Binders (10pk),Teacher,1,2.05,469.44,Card
2023-08-04 07:00:00,Gel Pen (Black),Walk-in,5,13.28,1086.85,Cash
2023-08-04 08:00:00,Geometry Box,Walk-in,2,19.14,1199.66,Cash
2023-08-04 09:00:00,Stapler,Walk-in,1,20.15,577.79,School PO
2023-08-04 10:00:00,A4 Paper Ream,Office Corp,2,21.06,775.98,School PO
2023-08-04 11:00:00,Eraser,Walk-in,5,22.44,623.08,Card
2023-08-04 12:00:00,Binders (10pk),Office Corp,100,0.34,304.21,Cash
2023-08-04 13:00:00,Stapler,Walk-in,1,0.48,609.85,Cash
2023-08-04 14:00:00,Stapler,Walk-in,50,22.36,1025.86,Card
2023-08-04 15:00:00,A4 Paper Ream,Walk-in,1,4.71,264.14,Card
2023-08-04 16:00:00,Binders (10pk),Walk-in,1,20.77,317.31,School PO
2023-08-04 17:00:00,Eraser,Walk-in,100,4.86,427.77,Card
2023-08-04 18:00:00,Eraser,Walk-in,1,17.79,227.67,Cash
2023-08-04 19:00:00,Stapler,Walk-in,1,3.68,1160.77,Card
2023-08-04 20:00:00,Geometry Box,Office Corp,2,12.32,1396.31,Card
2023-08-04 21:00:00,Gel Pen (Black),Walk-in,5,17.47,1270.99,Cash
2023-08-04 22:00:00,Gel Pen (Black),Walk-in,100,18.49,3.37,Card
2023-08-04 23:00:00,Binders (10pk),Walk-in,50,15.07,1474.48,Card
2023-08-05 00:00:00,Eraser,Walk-in,1,1.56,468.53,Cash
2023-08-05 01:00:00,Stapler,Walk-in,1,23.09,1028.69,School PO
2023-08-05 02:00:00,A4 Paper Ream,Teacher,1,17.01,135.25,Card
2023-08-05 03:00:00,A4 Paper Ream,Walk-in,1,2.11,377.04,Card
2023-08-05 04:00:00,Gel Pen (Black),Walk-in,1,23.3,1491.5,School PO
2023-08-05 05:00:00,Geometry Box,Office Corp,1,11.56,233.8,School PO
2023-08-05 06:00:00,Eraser,Walk-in,1,21.08,764.81,Card
2023-08-05 07:00:00,Gel Pen (Black),Office Corp,2,14.48,1045.47,Cash
2023-08-05 08:00:00,Gel Pen (Black),Office Corp,50,18.89,587.89,Card
2023-08-05 09:00:00,Binders (10pk),Walk-in,100,2.93,1061.31,Card
2023-08-05 10:00:00,Geometry Box,Walk-in,1,14.99,1479.8,Card
2023-08-05 11:00:00,Eraser,School Bulk,1,6.87,1345.18,Card
2023-08-05 12:00:00,Eraser,Walk-in,2,12.22,763.01,Card
2023-08-05 13:00:00,Gel Pen (Black),School Bulk,2,13.16,932.93,School PO
2023-08-05 14:00:00,A4 Paper Ream,Walk-in,2,8.88,83.64,Cash
2023-08-05 15:00:00,Stapler,Walk-in,1,9.45,338.01,Card
2023-08-05 16:00:00,Geometry Box,School Bulk,5,17.88,731.37,School PO
2023-08-05 17:00:00,Stapler,School Bulk,2,6.14,823.59,School PO
2023-08-05 18:00:00,Gel Pen (Black),Office Corp,50,22.23,656.18,School PO
2023-08-05 19:00:00,Eraser,Teacher,5,5.26,308.13,Card
2023-08-05 20:00:00,A4 Paper Ream,Teacher,2,11.05,1174.58,School PO
2023-08-05 21:00:00,Stapler,Walk-in,2,17.24,112.64,Card
2023-08-05 22:00:00,Gel Pen (Black),School Bulk,1,15.44,870.89,School PO
2023-08-05 23:00:00,Gel Pen (Black),Walk-in,2,4.36,204.51,School PO
2023-08-06 00:00:00,A4 Paper Ream,Walk-in,5,2.52,1392.76,School PO
2023-08-06 01:00:00,Binders (10pk),School Bulk,1,1.62,600.17,School PO
2023-08-06 02:00:00,Stapler,Walk-in,1,3.84,257.68,Card
2023-08-06 03:00:00,Binders (10pk),Walk-in,1,15.67,189.84,School PO
2023-08-06 04:00:00,Binders (10pk),Walk-in,1,15.28,1377.61,Card
2023-08-06 05:00:00,A4 Paper Ream,Walk-in,50,9.05,674.83,Card
2023-08-06 06:00:00,Gel Pen (Black),Office Corp,1,5.73,606.8,School PO
2023-08-06 07:00:00,Binders (10pk),School Bulk,5,12.25,557.34,Cash
2023-08-06 08:00:00,Stapler,Walk-in,1,24.18,1418.03,Card
2023-08-06 09:00:00,Gel Pen (Black),Walk-in,2,18.23,748.09,Card
2023-08-06 10:00:00,Stapler,Walk-in,2,7.2,565.15,Card
2023-08-06 11:00:00,Geometry Box,Walk-in,1,4.45,156.9,Card
2023-08-06 12:00:00,Eraser,Walk-in,2,14.72,621.15,School PO
2023-08-06 13:00:00,Gel Pen (Black),School Bulk,1,5.52,527.05,Card
2023-08-06 14:00:00,Binders (10pk),Walk-in,50,24.3,1252.38,Cash
2023-08-06 15:00:00,Stapler,Walk-in,1,24.33,586.49,School PO
2023-08-06 16:00:00,A4 Paper Ream,Walk-in,1,3.35,1470.03,Card
2023-08-06 17:00:00,Geometry Box,Walk-in,1,3.72,1431.47,Cash
2023-08-06 18:00:00,Gel Pen (Black),Walk-in,100,5.64,835.29,School PO
2023-08-06 19:00:00,Stapler,School Bulk,1,23.3,894.75,School PO
2023-08-06 20:00:00,Eraser,Walk-in,1,18.09,840.77,Cash
2023-08-06 21:00:00,Geometry Box,Walk-in,2,19.2,1471.3,Card
2023-08-06 22:00:00,Binders (10pk),School Bulk,1,20.64,1247.78,Card
2023-08-06 23:00:00,Geometry Box,Walk-in,2,23.46,1327.59,Cash
2023-08-07 00:00:00,Eraser,Office Corp,1,8.46,25.47,Cash
2023-08-07 01:00:00,Geometry Box,Walk-in,50,14.64,710.39,Cash
2023-08-07 02:00:00,Geometry Box,Walk-in,2,5.65,173.39,Card
2023-08-07 03:00:00,Binders (10pk),Walk-in,5,12.69,541.17,Card
2023-08-07 04:00:00,A4 Paper Ream,Office Corp,5,21.16,81.57,Cash
2023-08-07 05:00:00,Gel Pen (Black),Walk-in,50,22.29,927.47,Cash
2023-08-07 06:00:00,Stapler,Walk-in,1,4.99,278.33,Card
2023-08-07 07:00:00,Eraser,Walk-in,2,11.63,748.85,School PO
2023-08-07 08:00:00,Binders (10pk),Office Corp,2,22.14,913.1,School PO
2023-08-07 09:00:00,Gel Pen (Black),School Bulk,1,1.19,986.88,Card
2023-08-07 10:00:00,Geometry Box,Walk-in,5,13.99,918.67,School PO
2023-08-07 11:00:00,Binders (10pk),School Bulk,1,4.48,1301.61,Cash
2023-08-07 12:00:00,Stapler,Walk-in,2,24.52,492.84,School PO
2023-08-07 13:00:00,Gel Pen (Black),Walk-in,1,5.96,1132.13,Cash
2023-08-07 14:00:00,Gel Pen (Black),Office Corp,1,18.2,997.57,Card
2023-08-07 15:00:00,Geometry Box,School Bulk,1,13.36,1217.86,School PO
2023-08-07 16:00:00,Geometry Box,Office Corp,1,18.22,859.05,Card
2023-08-07 17:00:00,A4 Paper Ream,Walk-in,1,12.96,206.79,Card
2023-08-07 18:00:00,Binders (10pk),Walk-in,50,7.26,1118.69,School PO
2023-08-07 19:00:00,Eraser,Walk-in,1,24.85,187.77,School PO
2023-08-07 20:00:00,A4 Paper Ream,Walk-in,1,9.16,1310.14,School PO
2023-08-07 21:00:00,Binders (10pk),Walk-in,1,3.8,180.52,School PO
2023-08-07 22:00:00,A4 Paper Ream,Walk-in,2,9.61,478.84,School PO
2023-08-07 23:00:00,Binders (10pk),School Bulk,1,9.29,116.98,Cash
2023-08-08 00:00:00,A4 Paper Ream,Walk-in,1,11.0,758.18,School PO
2023-08-08 01:00:00,Binders (10pk),Walk-in,2,21.87,1293.35,Cash
2023-08-08 02:00:00,A4 Paper Ream,Walk-in,1,11.8,989.95,School PO
2023-08-08 03:00:00,Gel Pen (Black),School Bulk,50,10.41,730.23,Card
2023-08-08 04:00:00,A4 Paper Ream,School Bulk,2,4.43,1488.05,School PO
2023-08-08 05:00:00,Gel Pen (Black),School Bulk,1,16.0,179.53,Cash
2023-08-08 06:00:00,Gel Pen (Black),Walk-in,2,11.07,1157.47,Cash
2023-08-08 07:00:00,Geometry Box,Walk-in,50,5.72,124.32,Card
2023-08-08 08:00:00,Geometry Box,Walk-in,1,21.55,1211.97,Card
2023-08-08 09:00:00,Eraser,School Bulk,100,20.1,378.61,School PO
2023-08-08 10:00:00,Binders (10pk),Walk-in,1,8.93,1412.67,Card
2023-08-08 11:00:00,Gel Pen (Black),Office Corp,2,17.85,1130.43,Card
2023-08-08 12:00:00,A4 Paper Ream,Walk-in,50,14.06,625.18,School PO
2023-08-08 13:00:00,Eraser,Walk-in,2,8.7,35.53,Card
2023-08-08 14:00:00,Stapler,Walk-in,1,18.35,1127.11,Card
2023-08-08 15:00:00,Gel Pen (Black),Walk-in,1,2.65,752.67,Cash
2023-08-08 16:00:00,A4 Paper Ream,Office Corp,1,13.53,238.21,School PO
2023-08-08 17:00:00,Stapler,School Bulk,5,2.36,960.8,School PO
2023-08-08 18:00:00,A4 Paper Ream,Walk-in,2,11.65,1180.36,Card
2023-08-08 19:00:00,Stapler,Office Corp,2,2.63,738.42,Card
2023-08-08 20:00:00,Binders (10pk),Office Corp,1,6.58,1167.88,Card
2023-08-08 21:00:00,Stapler,Office Corp,2,2.3,950.93,Cash
2023-08-08 22:00:00,Binders (10pk),Walk-in,1,1.31,862.21,Cash
2023-08-08 23:00:00,Gel Pen (Black),Walk-in,1,5.02,786.89,School PO
2023-08-09 00:00:00,Geometry Box,Walk-in,1,12.7,623.66,School PO
2023-08-09 01:00:00,Gel Pen (Black),Office Corp,100,0.36,1475.12,Card
2023-08-09 02:00:00,Binders (10pk),School Bulk,1,5.25,1328.72,Card
2023-08-09 03:00:00,A4 Paper Ream,Walk-in,100,3.12,38.68,School PO
2023-08-09 04:00:00,A4 Paper Ream,School Bulk,1,24.38,1215.53,School PO
2023-08-09 05:00:00,A4 Paper Ream,Office Corp,1,11.71,428.37,Cash
2023-08-09 06:00:00,Geometry Box,Walk-in,5,21.65,968.15,School PO
2023-08-09 07:00:00,Geometry Box,Walk-in,5,8.14,1191.04,Cash
2023-08-09 08:00:00,Eraser,Walk-in,1,19.31,368.19,Card
2023-08-09 09:00:00,Geometry Box,Walk-in,1,12.14,620.92,Card
2023-08-09 10:00:00,Binders (10pk),Walk-in,5,10.15,1027.55,Cash
2023-08-09 11:00:00,Geometry Box,Walk-in,1,11.9,606.82,Card
2023-08-09 12:00:00,Eraser,School Bulk,100,4.27,835.19,Card
2023-08-09 13:00:00,Binders (10pk),Walk-in,1,18.76,956.98,Card
2023-08-09 14:00:00,Eraser,School Bulk,1,19.37,1022.19,School PO
2023-08-09 15:00:00,Geometry Box,Office Corp,2,13.31,975.77,School PO
2023-08-09 16:00:00,Gel Pen (Black),Walk-in,1,16.57,328.99,School PO
2023-08-09 17:00:00,Binders (10pk),Walk-in,2,21.55,1352.45,School PO
2023-08-09 18:00:00,Binders (10pk),Walk-in,50,3.68,809.38,Card
2023-08-09 19:00:00,A4 Paper Ream,Walk-in,1,5.96,409.63,Card
2023-08-09 20:00:00,Binders (10pk),School Bulk,1,2.58,842.11,Card
2023-08-09 21:00:00,A4 Paper Ream,Walk-in,1,1.98,1480.29,Cash
2023-08-09 22:00:00,A4 Paper Ream,Office Corp,1,4.24,1425.11,School PO
2023-08-09 23:00:00,A4 Paper Ream,Office Corp,1,1.61,955.23,School PO
2023-08-10 00:00:00,Stapler,Walk-in,1,20.64,98.79,Cash
2023-08-10 01:00:00,Binders (10pk),Walk-in,2,10.75,440.2,Cash
2023-08-10 02:00:00,Binders (10pk),Walk-in,1,23.37,344.61,Cash
2023-08-10 03:00:00,Binders (10pk),Walk-in,1,8.5,934.03,Card
2023-08-10 04:00:00,Gel Pen (Black),Walk-in,500,3.53,935.59,School PO
2023-08-10 05:00:00,Stapler,Office Corp,500,17.89,424.13,Cash
2023-08-10 06:00:00,Stapler,Walk-in,2,0.49,1421.43,Card
2023-08-10 07:00:00,Geometry Box,School Bulk,1,2.3,273.43,School PO
2023-08-10 08:00:00,A4 Paper Ream,Walk-in,2,12.47,1076.98,Cash
2023-08-10 09:00:00,Binders (10pk),Walk-in,1,3.09,1053.16,Card
2023-08-10 10:00:00,Binders (10pk),Walk-in,2,15.74,815.78,Card
2023-08-10 11:00:00,Geometry Box,Walk-in,1,16.28,1223.98,School PO
2023-08-10 12:00:00,Binders (10pk),Walk-in,1,5.45,680.16,School PO
2023-08-10 13:00:00,A4 Paper Ream,Walk-in,1,1.53,1278.47,Cash
2023-08-10 14:00:00,Binders (10pk),School Bulk,2,1.62,653.22,Card
2023-08-10 15:00:00,Binders (10pk),Walk-in,500,10.11,1172.41,School PO
2023-08-10 16:00:00,Stapler,Walk-in,1,9.77,489.39,School PO
2023-08-10 17:00:00,Binders (10pk),Walk-in,1,12.66,322.15,Cash
2023-08-10 18:00:00,Gel Pen (Black),Walk-in,2,18.92,508.95,School PO
2023-08-10 19:00:00,A4 Paper Ream,Walk-in,1,20.86,1243.23,Cash
2023-08-10 20:00:00,Binders (10pk),Office Corp,1,21.47,1044.57,Card
2023-08-10 21:00:00,Binders (10pk),Walk-in,1,8.73,788.43,School PO
2023-08-10 22:00:00,A4 Paper Ream,Walk-in,1,18.44,874.05,Card
2023-08-10 23:00:00,Gel Pen (Black),School Bulk,1,8.52,20.35,School PO
2023-08-11 00:00:00,Eraser,Walk-in,2,17.55,867.25,Card
2023-08-11 01:00:00,Eraser,Walk-in,1,1.27,807.49,Card
2023-08-11 02:00:00,Stapler,Walk-in,1,20.37,62.46,School PO
2023-08-11 03:00:00,Binders (10pk),Office Corp,50,16.13,1497.79,School PO
2023-08-11 04:00:00,Stapler,Walk-in,5,20.25,408.3,School PO
2023-08-11 05:00:00,Stapler,Office Corp,50,7.39,838.79,School PO
2023-08-11 06:00:00,Gel Pen (Black),Walk-in,1,6.79,553.07,School PO
2023-08-11 07:00:00,A4 Paper Ream,Walk-in,1,15.74,718.2,Cash
2023-08-11 08:00:00,Binders (10pk),Walk-in,1,1.63,1161.21,Cash
2023-08-11 09:00:00,Eraser,Walk-in,1,16.44,813.35,School PO
2023-08-11 10:00:00,Stapler,Office Corp,50,8.39,961.44,Card
2023-08-11 11:00:00,Geometry Box,Office Corp,2,15.14,311.11,School PO
2023-08-11 12:00:00,Binders (10pk),School Bulk,2,23.3,1356.17,School PO
2023-08-11 13:00:00,Gel Pen (Black),School Bulk,2,20.55,595.19,Card
2023-08-11 14:00:00,Binders (10pk),Walk-in,2,12.7,1359.15,Card
2023-08-11 15:00:00,Binders (10pk),Walk-in,5,18.63,400.53,Cash
2023-08-11 16:00:00,Geometry Box,Office Corp,2,16.74,950.45,Card
2023-08-11 17:00:00,Gel Pen (Black),Walk-in,1,13.65,58.85,Cash
2023-08-11 18:00:00,Eraser,Walk-in,100,6.39,1334.33,School PO
2023-08-11 19:00:00,Binders (10pk),School Bulk,1,1.25,1270.94,Card
2023-08-11 20:00:00,Binders (10pk),Teacher,5,2.76,1256.12,Card
2023-08-11 21:00:00,Geometry Box,Walk-in,1,10.85,724.65,Card
2023-08-11 22:00:00,Binders (10pk),Office Corp,50,2.06,1243.54,Card
2023-08-11 23:00:00,Eraser,Walk-in,5,15.84,1252.19,Cash
2023-08-12 00:00:00,Geometry Box,Walk-in,2,9.04,462.54,School PO
2023-08-12 01:00:00,Gel Pen (Black),School Bulk,2,21.81,936.41,Card
2023-08-12 02:00:00,Gel Pen (Black),School Bulk,1,19.8,1114.84,Cash
2023-08-12 03:00:00,A4 Paper Ream,School Bulk,1,17.1,792.89,Card
2023-08-12 04:00:00,Gel Pen (Black),Office Corp,1,6.66,962.18,School PO
2023-08-12 05:00:00,A4 Paper Ream,School Bulk,50,13.08,920.34,Cash
2023-08-12 06:00:00,Geometry Box,Walk-in,1,18.11,314.52,Card
2023-08-12 07:00:00,A4 Paper Ream,Walk-in,1,3.69,1123.48,Cash
2023-08-12 08:00:00,Stapler,Walk-in,1,23.62,838.66,Cash
2023-08-12 09:00:00,A4 Paper Ream,Walk-in,1,12.71,880.89,School PO
2023-08-12 10:00:00,Geometry Box,School Bulk,50,10.16,1084.7,School PO
2023-08-12 11:00:00,Geometry Box,School Bulk,50,2.27,978.73,School PO
2023-08-12 12:00:00,Gel Pen (Black),Walk-in,100,18.7,1089.83,School PO
2023-08-12 13:00:00,Stapler,School Bulk,100,9.68,1404.88,Cash
2023-08-12 14:00:00,Binders (10pk),Walk-in,500,2.08,879.38,Cash
2023-08-12 15:00:00,Binders (10pk),Walk-in,1,12.5,1239.39,Cash
2023-08-12 16:00:00,Geometry Box,Walk-in,1,24.08,919.04,School PO
2023-08-12 17:00:00,A4 Paper Ream,Walk-in,50,11.1,772.71,Cash
2023-08-12 18:00:00,Stapler,Walk-in,1,8.52,539.53,Card
2023-08-12 19:00:00,Eraser,Walk-in,1,11.83,361.96,Cash
2023-08-12 20:00:00,A4 Paper Ream,Office Corp,1,7.89,1084.98,Cash
2023-08-12 21:00:00,Geometry Box,Walk-in,1,12.38,737.98,Card
2023-08-12 22:00:00,Geometry Box,Walk-in,1,17.99,467.02,School PO
2023-08-12 23:00:00,Stapler,Walk-in,50,15.08,282.87,Card
2023-08-13 00:00:00,Eraser,Walk-in,5,2.55,643.97,School PO
2023-08-13 01:00:00,Geometry Box,Teacher,2,4.5,359.53,School PO
2023-08-13 02:00:00,Binders (10pk),Walk-in,1,13.92,333.14,Card
2023-08-13 03:00:00,Geometry Box,Office Corp,1,8.16,1153.66,Cash
2023-08-13 04:00:00,Eraser,Office Corp,5,17.97,954.97,Cash
2023-08-13 05:00:00,Binders (10pk),Office Corp,1,20.01,1065.65,Cash
2023-08-13 06:00:00,Binders (10pk),School Bulk,1,20.65,1062.59,Card
2023-08-13 07:00:00,Eraser,Walk-in,1,17.04,794.76,Cash
2023-08-13 08:00:00,Geometry Box,Walk-in,2,22.19,356.69,Cash
2023-08-13 09:00:00,Binders (10pk),Walk-in,50,23.03,656.97,Card
2023-08-13 10:00:00,Eraser,Walk-in,1,22.26,125.0,Card
2023-08-13 11:00:00,Geometry Box,Walk-in,1,24.31,980.93,Cash
2023-08-13 12:00:00,Geometry Box,Office Corp,2,6.65,386.88,Cash
2023-08-13 13:00:00,Gel Pen (Black),Walk-in,2,11.16,806.76,School PO
2023-08-13 14:00:00,Geometry Box,Walk-in,50,2.2,454.36,Card
2023-08-13 15:00:00,Binders (10pk),School Bulk,100,16.81,545.01,Card
2023-08-13 16:00:00,Geometry Box,Walk-in,1,10.83,794.09,Cash
2023-08-13 17:00:00,Geometry Box,School Bulk,1,7.93,1342.85,School PO
2023-08-13 18:00:00,Stapler,Office Corp,1,6.48,225.47,Cash
2023-08-13 19:00:00,Eraser,Walk-in,1,6.7,932.83,Cash
2023-08-13 20:00:00,Eraser,School Bulk,1,1.97,165.25,Cash
2023-08-13 21:00:00,A4 Paper Ream,Walk-in,500,3.73,1480.17,School PO
2023-08-13 22:00:00,A4 Paper Ream,School Bulk,1,4.24,5.32,School PO
2023-08-13 23:00:00,Gel Pen (Black),Walk-in,2,9.63,98.69,Card
2023-08-14 00:00:00,Geometry Box,Walk-in,1,22.28,1129.72,Card
2023-08-14 01:00:00,Geometry Box,Walk-in,1,8.85,889.76,Cash
2023-08-14 02:00:00,Gel Pen (Black),Walk-in,1,21.73,782.33,Card
2023-08-14 03:00:00,Gel Pen (Black),Walk-in,1,0.8,891.27,School PO
2023-08-14 04:00:00,Gel Pen (Black),Walk-in,1,3.46,1303.86,School PO
2023-08-14 05:00:00,Stapler,Walk-in,1,8.26,243.28,School PO
2023-08-14 06:00:00,Geometry Box,Walk-in,2,13.85,544.38,Card
2023-08-14 07:00:00,A4 Paper Ream,Walk-in,1,5.15,1032.67,School PO
2023-08-14 08:00:00,Eraser,Walk-in,2,5.53,531.83,Card
2023-08-14 09:00:00,Geometry Box,Office Corp,500,14.91,1053.46,School PO
2023-08-14 10:00:00,A4 Paper Ream,Walk-in,1,14.83,437.44,School PO
2023-08-14 11:00:00,Geometry Box,Walk-in,1,14.27,879.42,Cash
2023-08-14 12:00:00,Gel Pen (Black),Walk-in,1,11.28,1274.1,Card
2023-08-14 13:00:00,Geometry Box,School Bulk,1,13.76,1457.97,School PO
2023-08-14 14:00:00,Geometry Box,Walk-in,1,19.14,978.7,School PO
2023-08-14 15:00:00,Eraser,Walk-in,1,4.61,1176.52,Card
2023-08-14 16:00:00,Binders (10pk),Walk-in,2,23.03,1025.1,Card
2023-08-14 17:00:00,Eraser,School Bulk,50,16.3,331.37,Card
2023-08-14 18:00:00,A4 Paper Ream,Walk-in,2,1.45,270.93,Cash
2023-08-14 19:00:00,Binders (10pk),Walk-in,500,4.91,1068.8,School PO
2023-08-14 20:00:00,A4 Paper Ream,Walk-in,2,22.8,1052.08,Card
2023-08-14 21:00:00,Geometry Box,Teacher,1,13.44,1125.05,Card
2023-08-14 22:00:00,Eraser,Walk-in,5,10.45,937.83,Cash
2023-08-14 23:00:00,Stapler,Walk-in,1,9.87,791.1,Card
2023-08-15 00:00:00,Binders (10pk),Walk-in,1,2.24,807.89,Cash
2023-08-15 01:00:00,Eraser,School Bulk,1,5.41,1044.36,Card
2023-08-15 02:00:00,Geometry Box,Walk-in,1,15.03,85.35,Cash
2023-08-15 03:00:00,Geometry Box,Walk-in,2,24.72,1407.75,School PO
2023-08-15 04:00:00,Eraser,Teacher,5,8.93,60.95,School PO
2023-08-15 05:00:00,Eraser,Walk-in,2,13.62,224.74,Cash
2023-08-15 06:00:00,A4 Paper Ream,Walk-in,2,2.03,644.7,Card
